Paper,Citation
Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,"Move the Laser Spot, Not the DUT: Investigating the New Micro-mirror Capability and Challenges for Localizing SEE Sites on Large Modern ICs"
Regional Stiffness Reduction Using Lamina Emergent Torsional Joints for Flexible Printed Circuit Board Design,Variable stiffness adaptation to mitigate system failure in inflatable robots
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Microstructure Correlation with Formability for Biaxial Stretching of Magnesium Alloy AZ31B at Mildly Elevated Temperatures
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application"
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,"Formability of magnesium alloy AZ31B from room temperature to 125, °C under biaxial tension"
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,A fast-running simulation tool for axisymmetric oxy-coal combustors
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Hydrodynamics of droplet impingement on hot surfaces of varying wettability
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Two-phase flow pressure drop in superhydrophobic channels
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Impact of computational mesh on CFD combustion predictions
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Thermophysical properties of thin fibers via photothermal quantum dot fluorescence spectral shape-based thermometry
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Elastic energy absorption of origami-based corrugations
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Measurement-Directed Reduction of Dynamic Models in Power Systems
Influence of microstructure geometry on pool boiling at superhydrophobic surfaces,Modeling soot in coal systems
A model for multi-input mechanical advantage in origami-based mechanisms,Inverted L-arm gripper compliant mechanism
A model for multi-input mechanical advantage in origami-based mechanisms,Elastic energy absorption of origami-based corrugations
A model for multi-input mechanical advantage in origami-based mechanisms,A framework for energy-based kinetostatic modeling of compliant mechanisms
Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,Inverted L-arm gripper compliant mechanism
Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,Design and characterization of integrated 2D ABEL trap
Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,Elastic energy absorption of origami-based corrugations
Symmetric Equations for Evaluating Maximum Torsion Stress of Rectangular Beams in Compliant Mechanisms,A framework for energy-based kinetostatic modeling of compliant mechanisms
Spectrum allocations: The aeronautical telemetry story in the USA,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
Spectrum allocations: The aeronautical telemetry story in the USA,Optimizing coded 16-APSK for aeronautical mobile telemetry
Spectrum allocations: The aeronautical telemetry story in the USA,Space-Time Coding for Aeronautical Telemetry: Part i - Estimators
Spectrum allocations: The aeronautical telemetry story in the USA,Sparse MMSE equalizer for GTR-STBC in aeronautical telemetry
Spectrum allocations: The aeronautical telemetry story in the USA,On the design of a square-root nyquist pulse shaping filter for aeronautical telemetry
Spectrum allocations: The aeronautical telemetry story in the USA,SAE Aero Design East: BYU-Idaho Aero Team 326 - Final Report Document
Spectrum allocations: The aeronautical telemetry story in the USA,Small aircraft flight encounters database for UAS sense and avoid
Spectrum allocations: The aeronautical telemetry story in the USA,Space-Time Coding for Aeronautical Telemetry: Part II - Decoder and System Performance
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Use of Personality Profile Assessments in the U.S. Commercial Construction Industry
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Ground-based 3D radar imaging of trees using a 2D synthetic aperture
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Optimal combined long-term facility design and short-term operational strategy for CHP capacity investments
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Use of Hi-resolution data for evaluating accuracy of traffic volume counts collected by microwave sensors
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,In situ bubble characterization during resin infusion for process simulation of voids
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Status of elementary teacher development: Preparing elementary teachers to deliver technology and engineering experiences
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,"The need, development, and validation of the innovation test instrument"
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Multidimensional Stability of Large-Amplitude Navier–Stokes Shocks
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,The scaled SLW model of gas radiation in non-uniform media
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Effect of the turbulence modeling in large-eddy simulations of nonpremixed flames undergoing extinction and reignition
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Effect of tool geometry and process parameters on mechanical properties of friction stir spot welded dissimilar aluminum alloys
Investigating Strategies for Pre-Class Content Learning in a Flipped Classroom,Mixed-integer multi-objective optimization applied to the PCS design of the I 2S-LWR
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Modeling soot in coal systems
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Modeling soot formation from solid complex fuels
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Ash deposition during advanced oxy-coal combustion using minimum recycled flue gas
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,"Hierarchically refined and coarsened splines for moving interface problems, with particular application to phase-field models of prostate tumor growth"
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Impact of computational mesh on CFD combustion predictions
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Semi-empirical Model for Fire Spread in Shrubs with Spatially-Defined Fuel Elements and Flames
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Analysis of pyrolysis products from live shrub fuels
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Investigation of merging flames in Horizontal and vertical Geometries
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Semi-empirical model for fire spread in chamise and big sagebrush shrubs with spatially-defined fuel elements and flames
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Investigation of merging flames in horizontal and vertical geometries
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Modeling effects of annealing on coal char reactivity to O2 and CO2 based on preparation conditions
Simulated Microstructural and Compositional Evolution of U-Pu-Zr Alloys Using the Potts-Phase Field Modeling Technique,Pyrolysis of live vegetation at slow heating rates
"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",Sidelobe Level and Aperture Efficiency Optimization for Tiled Aperiodic Array Antennas
"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",Measurement-Directed Reduction of Dynamic Models in Power Systems
"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",Adding EUV reflectance to aluminum-coated mirrors for space-based observation
"The effect of two distinct fast time scales in the rotating, stratified Boussinesq equations: variations from quasi-geostrophy",Acoustic shock formation in noise propagation during ground run-up operations of military aircraft
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Modeling soot formation from solid complex fuels
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Analysis of pyrolysis products from live shrub fuels
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Adding EUV reflectance to aluminum-coated mirrors for space-based observation
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,A comprehensive model of single particle pulverized coal combustion extended to oxy-coal conditions
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Simulation-based coefficients for adjusting climate impact on energy consumption of commercial buildings
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Semi-empirical model for fire spread in chamise and big sagebrush shrubs with spatially-defined fuel elements and flames
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Pyrolysis of live vegetation at slow heating rates
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Semi-empirical Model for Fire Spread in Shrubs with Spatially-Defined Fuel Elements and Flames
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Impact of computational mesh on CFD combustion predictions
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Modeling a pressurized coal feed system
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Modeling soot in coal systems
A cost-effective approach to realization of the efficient methane chemical-looping combustion by using coal fly ash as a support for oxygen carrier,Field testing of Cryogenic Carbon Capture
Exploration and evaluation of CAD modeling in virtual reality,Selective Laser Melting aluminum waveguide attenuation at K-band
Exploration and evaluation of CAD modeling in virtual reality,A comprehensive model for predicting elemental composition of coal pyrolysis products
Exploration and evaluation of CAD modeling in virtual reality,Near-to-eye electroholography via guided-wave acousto-optics for augmented reality
Exploration and evaluation of CAD modeling in virtual reality,"Pseudo-singleton pattern and agnostic business layer for multi-engineer, synchronous, heterogeneous CAD"
Exploration and evaluation of CAD modeling in virtual reality,Associative CAD references in the neutral parametric canonical form
Exploration and evaluation of CAD modeling in virtual reality,A multi-user computer-aided design competition: Experimental findings and analysis of team-member dynamics
Exploration and evaluation of CAD modeling in virtual reality,Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts
Exploration and evaluation of CAD modeling in virtual reality,"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application"
Exploration and evaluation of CAD modeling in virtual reality,A simple starting point for designing for and/or assessing the social impact of products
Exploration and evaluation of CAD modeling in virtual reality,Strategies employed and lessons learned by commercial construction companies during economic recession and recovery
Exploration and evaluation of CAD modeling in virtual reality,Towards a universal social impact metric for engineered products that alleviate poverty
Exploration and evaluation of CAD modeling in virtual reality,"An assessment of village drill sustainability, with recommendations"
An optical method for the measurement of combustion gas temperature in particle laden flows,Modeling soot formation from solid complex fuels
An optical method for the measurement of combustion gas temperature in particle laden flows,Investigation of merging flames in horizontal and vertical geometries
An optical method for the measurement of combustion gas temperature in particle laden flows,Semi-empirical model for fire spread in chamise and big sagebrush shrubs with spatially-defined fuel elements and flames
An optical method for the measurement of combustion gas temperature in particle laden flows,Investigation of merging flames in Horizontal and vertical Geometries
An optical method for the measurement of combustion gas temperature in particle laden flows,Pyrolysis of live vegetation at slow heating rates
An optical method for the measurement of combustion gas temperature in particle laden flows,Analysis of pyrolysis products from live shrub fuels
An optical method for the measurement of combustion gas temperature in particle laden flows,Modeling the coanda effect with FDS and STARCCM+ to predict the effect of fires on slopes for implications of wildland firefighter safety
An optical method for the measurement of combustion gas temperature in particle laden flows,Impact of computational mesh on CFD combustion predictions
An optical method for the measurement of combustion gas temperature in particle laden flows,Semi-empirical Model for Fire Spread in Shrubs with Spatially-Defined Fuel Elements and Flames
An optical method for the measurement of combustion gas temperature in particle laden flows,Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C
An optical method for the measurement of combustion gas temperature in particle laden flows,Modeling a pressurized coal feed system
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Modeling soot in coal systems
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Impact of particle properties on radiative heat flux in an oxy-coal reactor
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Hydrodynamics of droplet impingement on hot surfaces of varying wettability
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Water entry of deformable spheres
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Two-phase flow pressure drop in superhydrophobic channels
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,A fast-running simulation tool for axisymmetric oxy-coal combustors
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Thermophysical properties of thin fibers via photothermal quantum dot fluorescence spectral shape-based thermometry
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip
Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,Impact of computational mesh on CFD combustion predictions
Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,A 3D isogeometric BE–FE analysis with dynamic remeshing for the simulation of a deformable particle in shear flows
Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,Structural analysis and optimization of tall buildings connected with skybridges and atria
Carlitz–Wan conjecture for permutation polynomials and Weill bound for curves over finite fields,Exploration of carbon-filled carbon nanotube vascular stents
Error correction in structured optical receivers,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs
Error correction in structured optical receivers,MMI waveguide based multispectral detection of nucleic acids for analysis of drug-resistant bacteria
Error correction in structured optical receivers,Design and characterization of integrated 2D ABEL trap
Column axial load effects on the performance of skewed SMF RBS connections,Analytical fragility curves for non-skewed highway bridges in Chile
Tutorial on interpreting x-ray photoelectron spectroscopy survey spectra: Questions and answers on spectra from the atomic layer deposition of Al2O3 on silicon,Carbon monolith scaffolding for high volumetric capacity silicon Li-ion battery anodes
Tutorial on interpreting x-ray photoelectron spectroscopy survey spectra: Questions and answers on spectra from the atomic layer deposition of Al2O3 on silicon,Strategies employed and lessons learned by commercial construction companies during economic recession and recovery
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Investigation of merging flames in horizontal and vertical geometries
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Using vegetation management and LiDAR-derived tree height data to improve outage predictions for electric utilities
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Level-educed wavepacket representation of Mach 1.8 laboratory-scale jet noise
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Generating derivative superstructures for systems with high configurational freedom
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Whole genome phylogenetic tree reconstruction using colored de bruijn graphs
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Water entry of deformable spheres
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Hydrodynamics of droplet impingement on hot surfaces of varying wettability
FleCSPH: A parallel and distributed smoothed particle hydrodynamics framework based on FleCSI,Nonparametric Tree-Based Predictive Modeling of Storm Outages on an Electric Distribution Network
Controlling normal stiffness in droplet-based linear bearings,Two-phase flow pressure drop in superhydrophobic channels
Controlling normal stiffness in droplet-based linear bearings,"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths"
Controlling normal stiffness in droplet-based linear bearings,Fundamental Principles of Tremor Propagation in the Upper Limb
Controlling normal stiffness in droplet-based linear bearings,Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests
Controlling normal stiffness in droplet-based linear bearings,Analytical fragility curves for non-skewed highway bridges in Chile
Controlling normal stiffness in droplet-based linear bearings,Variable stiffness adaptation to mitigate system failure in inflatable robots
Controlling normal stiffness in droplet-based linear bearings,Hydrodynamics of droplet impingement on hot surfaces of varying wettability
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,A Hybrid Approach to FPGA Configuration Scrubbing
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,Mitigated FPGA design of multi-gigabit transceivers for application in high radiation environments of High Energy Physics experiments
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,"An assessment of village drill sustainability, with recommendations"
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,A simple starting point for designing for and/or assessing the social impact of products
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,"Pseudo-singleton pattern and agnostic business layer for multi-engineer, synchronous, heterogeneous CAD"
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,"A Geometrically Exact Isogeometric Blended Shell: Formulation, Benchmarking, and Automotive Application"
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,Dynamic SEE Testing of Selected Architectural Features of Xilinx 28 nm Virtex-7 FPGAs
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,A multi-user computer-aided design competition: Experimental findings and analysis of team-member dynamics
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,Methods for determining the optimal number of simultaneous contributors for multi-user CAD parts
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,Associative CAD references in the neutral parametric canonical form
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,Benefits of Complementary SEU Mitigation for the LEON3 Soft Processor on SRAM-Based FPGAs
Using physical and functional comparisons to assure 3rd-party IP for modern FPGAs,Towards a universal social impact metric for engineered products that alleviate poverty
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Multiplexed efficient on-chip sample preparation and sensitive amplification-free detection of Ebola virus
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Inverted L-arm gripper compliant mechanism
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Fundamental Principles of Tremor Propagation in the Upper Limb
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Re-epithelialization of whole porcine kidneys with renal epithelial cells
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Permanganate-based synthesis of manganese oxide nanoparticles in ferritin
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Estimation of 3D Ground Reaction Force Using Nanocomposite Piezo-Responsive Foam Sensors During Walking
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Nano-Composite Foam Sensor System in Football Helmets
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Pathology-targeted cell delivery via injectable micro-scaffold capsule mediated by endogenous TGase
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Custom 3D printer and resin for 18 μm × 20 μm microfluidic flow channels
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Toward quantitative characterization of essential tremor for future tremor suppression
"Reengineering cell-free protein synthesis as a biosensor: Biosensing with transcription, translation, and protein-folding",Diagnostic and prognostic value of delayed Gadolinium Enhanced Magnetic Resonance Imaging of Cartilage (dGEMRIC) in early osteoarthritis of the hip
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Water supply damage caused by the 2016 Kumamoto Earthquake
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Modeling soot in coal systems
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Nonparametric Tree-Based Predictive Modeling of Storm Outages on an Electric Distribution Network
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Modeling a pressurized coal feed system
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Gradient-based optimization of wind farms with different turbine heights
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Formation of deposits from heavy fuel oil ash in an Accelerated Deposition Facility at temperatures up to 1206°C
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,A comprehensive model of single particle pulverized coal combustion extended to oxy-coal conditions
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Reservoir sustainability and sediment management
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,A comprehensive model for predicting elemental composition of coal pyrolysis products
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Differential effects of air conditioning type on residential endotoxin levels in a semi-arid climate
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,New Vapor-Pressure Prediction with Improved Thermodynamic Consistency using the Riedel Equation
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,A fast-running simulation tool for axisymmetric oxy-coal combustors
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Highly compressible origami bellows for microgravity drilling-debris containment
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Impact of particle properties on radiative heat flux in an oxy-coal reactor
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Field testing of Cryogenic Carbon Capture
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Ash deposition during advanced oxy-coal combustion using minimum recycled flue gas
Performance comparison of low temperature and chemical absorption carbon capture processes in response to dynamic electricity demand and price profiles,Modeling soot formation from solid complex fuels
Flexural strength and stiffness of block-out connections for steel columns,Variable stiffness adaptation to mitigate system failure in inflatable robots
Flexural strength and stiffness of block-out connections for steel columns,Fundamental Principles of Tremor Propagation in the Upper Limb
Flexural strength and stiffness of block-out connections for steel columns,"Strength, behavior, and failure mode of hollow concrete masonry constructed with mortars of different strengths"
Flexural strength and stiffness of block-out connections for steel columns,Passive force-deflection behavior of geosynthetic-reinforced soil backfill based on large-scale tests
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Custom 3D printer and resin for 18 μm × 20 μm microfluidic flow channels
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Nano-Composite Foam Sensor System in Football Helmets
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Exploration of carbon-filled carbon nanotube vascular stents
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,"Improving sensitivity of electrochemical sensors with convective transport in free-standing, carbon nanotube structures"
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Multiplexed efficient on-chip sample preparation and sensitive amplification-free detection of Ebola virus
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Polyethylene Glycol Based Changes to β-Sheet Protein Conformational and Proteolytic Stability Depend on Conjugation Strategy and Location
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Re-epithelialization of whole porcine kidneys with renal epithelial cells
CIP2A immunosensor comprised of vertically-aligned carbon nanotube interdigitated electrodes towards point-of-care oral cancer screening,Fundamental Principles of Tremor Propagation in the Upper Limb
