Paper,Reviewer,Decision,Review
"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",Wynn J.S.,True,The best thing I have ever read
"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",Dasgupta A.,True,The best thing I have ever read
"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",McCown A.S.,True,Interesting
"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",Cao Q.,True,Not bad at all
"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",Ling M.,True,Not bad at all
"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",Perry S.B.,True,Not bad at all
A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,Zhou Z.,True,Not bad at all
A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,Russell C.S.,True,Not bad at all
A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,Yang Y.,False,I fell asleep while reading
"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",Howell L.L.,True,Interesting
"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",Christensen J.E.,True,The best thing I have ever read
"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",Qiu L.,True,Interesting
"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",Lyman C.A.,True,The best thing I have ever read
"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",Power R.,True,The best thing I have ever read
"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",Carlson B.,True,Interesting
Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,Woodfield B.F.,True,Not bad at all
Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,Taheri M.L.,True,Interesting
Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,Song R.,True,Not bad at all
A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),Wright J.G.,True,Interesting
A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),Jensen M.A.,False,I fell asleep while reading
A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),Alejandro A.,True,Interesting
Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,Desai A.,True,Interesting
Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,Millard J.D.,False,Meh
Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,Zhu B.,True,Interesting
Relative multiplicative extended Kalman filter for observable GPS-denied navigation,Salmon J.L.,True,Interesting
Relative multiplicative extended Kalman filter for observable GPS-denied navigation,Peterson C.K.,True,Interesting
Relative multiplicative extended Kalman filter for observable GPS-denied navigation,Killpack M.D.,False,Nothing makes sense
Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,Munro T.,True,The best thing I have ever read
Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,Halverson D.M.,True,Interesting
Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,Wilson A.T.,True,The best thing I have ever read
Estimating correlations with censored data,Shamsabadi A.,True,Not bad at all
Estimating correlations with censored data,Miao D.,True,Interesting
Estimating correlations with censored data,Stevens M.D.,True,Interesting
"Social impact in product design, an exploration of current industry practices",Read M.,True,The best thing I have ever read
"Social impact in product design, an exploration of current industry practices",Goodrich M.A.,True,Interesting
"Social impact in product design, an exploration of current industry practices",Crampton E.B.,False,Nothing makes sense
An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,Carlson S.,True,The best thing I have ever read
An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,Spencer J.C.,True,Interesting
An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,Rasmussen S.,True,The best thing I have ever read
Tracking joint angles during whole-arm movements using electromagnetic sensors,Homer E.,True,Interesting
Tracking joint angles during whole-arm movements using electromagnetic sensors,Takahashi K.Z.,True,The best thing I have ever read
Tracking joint angles during whole-arm movements using electromagnetic sensors,Hart G.L.W.,True,The best thing I have ever read
Case study: Noise reduction of a vacuum-assisted toilet,Reichman B.,True,The best thing I have ever read
Case study: Noise reduction of a vacuum-assisted toilet,Swift S.H.,False,I fell asleep while reading
Case study: Noise reduction of a vacuum-assisted toilet,Mascarenas D.,True,The best thing I have ever read
Developable mechanisms on right conical surfaces,Sharker S.I.,True,Interesting
Developable mechanisms on right conical surfaces,Machekposhti D.F.,False,I fell asleep while reading
Developable mechanisms on right conical surfaces,Chen G.,True,Interesting
State-Dependent LQR Control for a Tilt-Rotor UAV,Sarić A.A.,True,Interesting
State-Dependent LQR Control for a Tilt-Rotor UAV,Webber T.,True,Not bad at all
State-Dependent LQR Control for a Tilt-Rotor UAV,Peterson C.,True,The best thing I have ever read
"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",Whiting T.A.,True,Interesting
"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",Angeles A.,True,Not bad at all
"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",Oettle N.K.,True,Not bad at all
Flexible hybrid state estimation for power systems with communication irregularities,Johnson C.,True,The best thing I have ever read
Flexible hybrid state estimation for power systems with communication irregularities,Wirthlin M.,True,Not bad at all
Flexible hybrid state estimation for power systems with communication irregularities,Svenda V.,False,My dog can write better
Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,Garcia E.,True,Interesting
Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,Willey L.C.,True,The best thing I have ever read
Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,Von Moll A.,False,Is this a joke?
On the effects of channel sparsity on joint estimators in aeronautical telemetry,Hart G.L.W.,True,Not bad at all
On the effects of channel sparsity on joint estimators in aeronautical telemetry,Cope M.,True,The best thing I have ever read
On the effects of channel sparsity on joint estimators in aeronautical telemetry,Akay M.F.,False,Is this a joke?
Relative navigation of fixed-wing aircraft in GPS-denied environments,Glaab L.J.,True,Not bad at all
Relative navigation of fixed-wing aircraft in GPS-denied environments,Nysetvold T.B.,True,The best thing I have ever read
Relative navigation of fixed-wing aircraft in GPS-denied environments,Norman K.,False,Is this a joke?
Increasing Student Use of a Learner Dashboard,Safdarnejad S.M.,True,The best thing I have ever read
Increasing Student Use of a Learner Dashboard,Wilding P.R.,True,Interesting
Increasing Student Use of a Learner Dashboard,Mercer E.G.,True,Interesting
Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,Ulrich T.J.,True,The best thing I have ever read
Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,Summa D.A.,True,Not bad at all
Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,Gunther H.,True,Interesting
Improving running economy through altered shoe bending stiffness across speeds,Rose M.A.,False,I fell asleep while reading
Improving running economy through altered shoe bending stiffness across speeds,Amini E.,True,The best thing I have ever read
Improving running economy through altered shoe bending stiffness across speeds,Salva K.T.,True,Interesting
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,Charles S.K.,True,Interesting
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,Howell L.,True,Interesting
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,Sarić A.T.,True,Not bad at all
Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,Halverson D.M.,False,Meh
Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,Pehrson N.A.,True,The best thing I have ever read
Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,Li X.,True,Interesting
Measured Polarization Components of Nonlinear Thomson Scattering,Baktur R.,True,Interesting
Measured Polarization Components of Nonlinear Thomson Scattering,Jolly S.,True,The best thing I have ever read
Measured Polarization Components of Nonlinear Thomson Scattering,Michael Bove V.,False,Nothing makes sense
"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",Stringham B.J.,True,Interesting
"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",Horak P.,True,Interesting
"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",Jagadeesh C.,True,Interesting
Direct macro-to-micro interface method for microfluidics,Neff C.,True,The best thing I have ever read
Direct macro-to-micro interface method for microfluidics,Rojas-Nastrucci E.A.,True,The best thing I have ever read
Direct macro-to-micro interface method for microfluidics,Zunino J.L.,False,I would not even use it as toilet paper
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,Fish D.,True,The best thing I have ever read
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,Stevens K.A.,True,The best thing I have ever read
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,Opra J.,False,My dog can write better
DNA origami mediated electrically connected metal—semiconductor junctions,Anderson R.,False,I fell asleep while reading
DNA origami mediated electrically connected metal—semiconductor junctions,Camacho R.M.,True,The best thing I have ever read
DNA origami mediated electrically connected metal—semiconductor junctions,Lemmon J.P.,True,Interesting
Kcollections: A fast and efficient library for K-mers,Belanger H.,True,Interesting
Kcollections: A fast and efficient library for K-mers,Vajdi A.,True,Not bad at all
Kcollections: A fast and efficient library for K-mers,Willey L.C.,False,My dog can write better
Spectral and Dynamic Consequences of Network Specialization,Sarić A.A.,True,Interesting
Spectral and Dynamic Consequences of Network Specialization,Ackerman W.,False,Meh
Spectral and Dynamic Consequences of Network Specialization,Stanković A.M.,True,Not bad at all
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,Roman H.R.,True,The best thing I have ever read
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,Fonseca F.S.,False,My dog can write better
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,Martens D.R.W.,True,Not bad at all
SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,Chanda A.,True,Not bad at all
SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,Warnick S.,True,Not bad at all
SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,Gao H.,True,Not bad at all
Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,Hyatt L.P.,True,Interesting
Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,Fletcher T.H.,False,Is this a joke?
Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,Hedengren J.D.,True,Interesting
Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,Allen G.N.,True,Not bad at all
Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,Upadhyay P.,True,The best thing I have ever read
Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,Badger P.,True,The best thing I have ever read
Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,Lovett B.,True,Interesting
Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,Hurd R.C.,False,I fell asleep while reading
Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,Baxter L.,True,The best thing I have ever read
Biocompatible PEGDA Resin for 3D Printing,Searle M.,False,I fell asleep while reading
Biocompatible PEGDA Resin for 3D Printing,Stevenson P.D.,True,Interesting
Biocompatible PEGDA Resin for 3D Printing,Ding S.,True,Interesting
Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,Park J.-W.,True,Not bad at all
Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,McCracken S.L.,True,The best thing I have ever read
Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,Campbell B.J.,True,Interesting
A Method for Creating Product Social Impact Models of Engineered Products,Chiang S.-H.W.,True,Not bad at all
A Method for Creating Product Social Impact Models of Engineered Products,Gustafson E.,True,Interesting
A Method for Creating Product Social Impact Models of Engineered Products,Cook J.,True,The best thing I have ever read
Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,Pehrson N.A.,True,Interesting
Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,Chu H.,True,Not bad at all
Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,Morgan W.S.,True,The best thing I have ever read
Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,Adams D.,False,Is this a joke?
Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,Robinson K.P.,True,Interesting
Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,Miles M.P.,True,The best thing I have ever read
3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,Barber J.L.,True,Not bad at all
3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,Amin M.N.,True,The best thing I have ever read
3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,Zacheu G.,True,The best thing I have ever read
"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",Armstrong A.G.,True,Interesting
"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",Curtarolo S.,True,Interesting
"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",Wright G.,True,The best thing I have ever read
Turbulence modulation in particle-laden stationary homogeneous isotropic turbulence using one-dimensional turbulence,Micah Downing J.,True,The best thing I have ever read
Turbulence modulation in particle-laden stationary homogeneous isotropic turbulence using one-dimensional turbulence,Gaskin J.,False,I fell asleep while reading
Turbulence modulation in particle-laden stationary homogeneous isotropic turbulence using one-dimensional turbulence,Goodrich M.A.,True,Not bad at all
Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,Cao J.,True,The best thing I have ever read
Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,Bruening D.A.,True,Interesting
Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,Morales-Velez A.C.,False,My dog can write better
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,Anderson R.,True,The best thing I have ever read
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,Galan A.M.,True,Not bad at all
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,Zhang Y.,True,Interesting
Measuring height characteristics of sagebrush (Artemisia sp.) using imagery derived from small unmanned aerial systems (SUAS),Farnsworth C.B.,True,Interesting
Measuring height characteristics of sagebrush (Artemisia sp.) using imagery derived from small unmanned aerial systems (SUAS),Fuller S.G.,False,Meh
Measuring height characteristics of sagebrush (Artemisia sp.) using imagery derived from small unmanned aerial systems (SUAS),Schmidt H.,True,Not bad at all
Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,Parate K.,True,Interesting
Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,Xu B.,False,My dog can write better
Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,Shamsabadi A.,True,Not bad at all
A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,Stanley A.P.J.,True,The best thing I have ever read
A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,Anderson J.,True,Not bad at all
A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,Dahlin E.C.,True,Not bad at all
Controlling martensite and pearlite formation with cooling rate and temperature control in rotary friction welding,Price C.,True,The best thing I have ever read
Controlling martensite and pearlite formation with cooling rate and temperature control in rotary friction welding,Carroll J.D.,False,I would not even use it as toilet paper
Controlling martensite and pearlite formation with cooling rate and temperature control in rotary friction welding,Wilson J.C.,True,Not bad at all
Smart camera for quality inspection and grading of food products,Ward J.,True,Interesting
Smart camera for quality inspection and grading of food products,de Moura Oliveira P.B.,False,My dog can write better
Smart camera for quality inspection and grading of food products,Davies R.,True,The best thing I have ever read
Optimization and implementation of synthetic basis feature descriptor on FPGA,Allen M.,True,The best thing I have ever read
Optimization and implementation of synthetic basis feature descriptor on FPGA,Gonzalez-Juez E.D.,True,Not bad at all
Optimization and implementation of synthetic basis feature descriptor on FPGA,Wilding P.R.,True,The best thing I have ever read
Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors,Miao D.,True,The best thing I have ever read
Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors,Clayburn Z.,False,Meh
Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors,Bull D.J.,True,Not bad at all
Optimization of laser sintering for demineralized bone/polycaprolactone composite powder for bone tissue scaffold,Millard J.,True,Not bad at all
Optimization of laser sintering for demineralized bone/polycaprolactone composite powder for bone tissue scaffold,Xue M.,True,Interesting
Optimization of laser sintering for demineralized bone/polycaprolactone composite powder for bone tissue scaffold,Schmidt H.,True,Interesting
A CPRBM-based method for large-deflection analysis of contact-aided compliant mechanisms considering beam-to-beam contacts,Fullwood D.T.,True,Interesting
A CPRBM-based method for large-deflection analysis of contact-aided compliant mechanisms considering beam-to-beam contacts,Diao J.,False,Meh
A CPRBM-based method for large-deflection analysis of contact-aided compliant mechanisms considering beam-to-beam contacts,Bilodeau R.A.,True,The best thing I have ever read
Non-catalytic ash effect on char reactivity,Aryal B.R.,True,Interesting
Non-catalytic ash effect on char reactivity,Woolley A.T.,True,Interesting
Non-catalytic ash effect on char reactivity,Prince D.,False,My dog can write better
Generalized regular k-point grid generation on the fly,Rosenbrock C.W.,True,Interesting
Generalized regular k-point grid generation on the fly,Csányi G.,True,The best thing I have ever read
Generalized regular k-point grid generation on the fly,Nyshadham C.,True,Interesting
Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards,Lee D.S.,True,Not bad at all
Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards,Howell L.L.,False,My dog can write better
Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards,Le K.,True,Not bad at all
"Closed-Loop, Axial Temperature Control of Etched Silicon Microcolumn for Tunable Thermal Gradient Gas Chromatography",Anderson R.,True,The best thing I have ever read
"Closed-Loop, Axial Temperature Control of Etched Silicon Microcolumn for Tunable Thermal Gradient Gas Chromatography",Awerkamp P.,False,I would not even use it as toilet paper
"Closed-Loop, Axial Temperature Control of Etched Silicon Microcolumn for Tunable Thermal Gradient Gas Chromatography",Gallacher J.R.,True,The best thing I have ever read
Grain boundary structure–property model inference using polycrystals: the overdetermined case,Wagoner R.H.,True,Not bad at all
Grain boundary structure–property model inference using polycrystals: the overdetermined case,Clayton M.F.,False,Meh
Grain boundary structure–property model inference using polycrystals: the overdetermined case,Liu F.C.,True,The best thing I have ever read
"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",Liu L.,True,Not bad at all
"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",Ganguly R.,True,Interesting
"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",Wright J.G.,False,Is this a joke?
The effects of doping alumina with silica in alumina-supported NiO catalysts for oxidative dehydrogenation of ethane,Carver V.,True,Not bad at all
The effects of doping alumina with silica in alumina-supported NiO catalysts for oxidative dehydrogenation of ethane,Roychowdhury T.,True,Interesting
The effects of doping alumina with silica in alumina-supported NiO catalysts for oxidative dehydrogenation of ethane,Adams D.W.,False,My dog can write better
Adaptive relay autotuning under static and non-static disturbances with application to friction stir welding,McCracken S.L.,True,Not bad at all
Adaptive relay autotuning under static and non-static disturbances with application to friction stir welding,Calvopiña D.G.,True,The best thing I have ever read
Adaptive relay autotuning under static and non-static disturbances with application to friction stir welding,Carlson B.,True,Not bad at all
Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells,Craighead H.G.,True,Interesting
Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells,Johnson O.K.,True,The best thing I have ever read
Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells,Nelson N.,False,I fell asleep while reading
Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,Hutchinson T.,True,The best thing I have ever read
Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,Jin M.,True,Not bad at all
Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,Wood C.M.,True,Interesting
Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,Hurley D.,True,Interesting
Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,Adams B.,True,The best thing I have ever read
Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,Meaker K.S.,True,The best thing I have ever read
The biotech living and the walking dead,Xiao Q.,True,Not bad at all
The biotech living and the walking dead,Davis B.R.,False,Is this a joke?
The biotech living and the walking dead,Weber K.S.,True,Interesting
An investigation of geometrically necessary dislocations and back stress in large grained tantalum via EBSD and CPFEM,Truscott T.T.,True,Interesting
An investigation of geometrically necessary dislocations and back stress in large grained tantalum via EBSD and CPFEM,Shapeev A.V.,True,The best thing I have ever read
An investigation of geometrically necessary dislocations and back stress in large grained tantalum via EBSD and CPFEM,DeMott R.,True,Not bad at all
"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",Lansinger V.B.,True,Interesting
"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",Rich P.J.,True,Not bad at all
"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",Fan M.,True,Interesting
Optimising the design of phased array feeds for survey speed,Allen D.,True,Not bad at all
Optimising the design of phased array feeds for survey speed,Swift G.,True,The best thing I have ever read
Optimising the design of phased array feeds for survey speed,Linford M.R.,True,Interesting
Latanoprost uptake and release from commercial contact lenses,De Berker H.,True,The best thing I have ever read
Latanoprost uptake and release from commercial contact lenses,Thomas J.,False,My dog can write better
Latanoprost uptake and release from commercial contact lenses,Merrell A.J.,True,The best thing I have ever read
Analysis of distortion phase shift in a highly loaded fan stage,Lang R.J.,True,The best thing I have ever read
Analysis of distortion phase shift in a highly loaded fan stage,Vosughi A.,True,Not bad at all
Analysis of distortion phase shift in a highly loaded fan stage,Von Moll A.,False,Meh
