Paper,Reviewers
Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,55855376400;7004904337;57204029674
On the effects of channel sparsity on joint estimators in aeronautical telemetry,56767836200;57217789464;6602577617
Relative navigation of fixed-wing aircraft in GPS-denied environments,57210290270;6508306234;57210914089
Increasing Student Use of a Learner Dashboard,56009607700;57213342768;57214792802
Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,57215366913;57209538650;57205293533
Improving running economy through altered shoe bending stiffness across speeds,15848771600;57203660684;57204031131
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,57204803477;7102483892;56237421600
Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,35597296700;57201257192;57192307368
Measured Polarization Components of Nonlinear Thomson Scattering,7005513246;7102975249;57189030360
"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",57188681207;57208771517;57205595555
Direct macro-to-micro interface method for microfluidics,9277159100;56692412900;7202316035
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,7410190129;57203942414;55369699900
DNA origami mediated electrically connected metal—semiconductor junctions,57211158470;57140193000;57203221999
Kcollections: A fast and efficient library for K-mers,56330970800;23487261200;57207901363
Spectral and Dynamic Consequences of Network Specialization,10639679200;57196372172;57207112163
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,57081918700;57193722976;8048702500
SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,57201358872;35262249500;35562442700
Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,10540655600;57209655847;55542008600
Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,57218202833;7004904337;7005513246
Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,36149254500;57206455220;56489679500
Biocompatible PEGDA Resin for 3D Printing,7102975249;57189445479;57204799155
Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,57216181629;56762988100;6701421652
A Method for Creating Product Social Impact Models of Engineered Products,8372868700;57207689986;57191525048
Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,57215534774;57209567638;55845968200
Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,57191923986;57217041570;57204469757
3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,7005666650;57219015425;36618663400
"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",9845705900;56810920600;57200649104
Turbulence modulation in particle-laden stationary homogeneous isotropic turbulence using one-dimensional turbulence,36245410800;7103248108;56767836200
Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,54787829800;56755464700;26634229600
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,57200390842;7410190129;56492379200
Measuring height characteristics of sagebrush (Artemisia sp.) using imagery derived from small unmanned aerial systems (SUAS),57202602903;7005411524;7402407628
Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,6507359986;7410190129;55542008600
A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,7202316035;6701646284;6601908155
Controlling martensite and pearlite formation with cooling rate and temperature control in rotary friction welding,8715877100;7003663333;56012631600
Smart camera for quality inspection and grading of food products,55948963100;56781290700;35792700800
Optimization and implementation of synthetic basis feature descriptor on FPGA,57192941583;23479472600;57203661089
Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors,57189843306;7004435321;57202323019
Optimization of laser sintering for demineralized bone/polycaprolactone composite powder for bone tissue scaffold,6506674242;57211516485;57205129154
A CPRBM-based method for large-deflection analysis of contact-aided compliant mechanisms considering beam-to-beam contacts,57203219105;6701610428;55911870000
Non-catalytic ash effect on char reactivity,57200884469;57209473859;57209474608
Generalized regular k-point grid generation on the fly,16197655400;7004904337;57216181629
Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards,57193903292;7101643443;57191362366
"Closed-Loop, Axial Temperature Control of Etched Silicon Microcolumn for Tunable Thermal Gradient Gas Chromatography",57218593446;57211105311;57203942414
Grain boundary structure–property model inference using polycrystals: the overdetermined case,56248593800;57216181629;35209941000
"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",12142543700;8369472600;55812232700
The effects of doping alumina with silica in alumina-supported NiO catalysts for oxidative dehydrogenation of ethane,57204607180;7006120837;56110251000
Adaptive relay autotuning under static and non-static disturbances with application to friction stir welding,57201634652;7004904337;57215613881
Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells,6603077820;57210288045;10141271600
Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,57210292389;7004347500;57200077021
Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,57214937519;56830076500;56701619800
The biotech living and the walking dead,14059209700;57218105310;57215613881
An investigation of geometrically necessary dislocations and back stress in large grained tantalum via EBSD and CPFEM,56622088300;57198451372;9942259800
"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",7201970805;57204031131;7006410098
Optimising the design of phased array feeds for survey speed,55452524500;57160053200;57197521815
Latanoprost uptake and release from commercial contact lenses,55601054600;57205504946;57205502490
Analysis of distortion phase shift in a highly loaded fan stage,6701460244;57193603847;36852156000
Optical measurement of voids in situ during infusion of carbon reinforcements,56308354900;57218593446;23052031200
Simphony: An open-source photonic integrated circuit simulation framework,57215366913;7202277096;57194053456
"Designer Thinking, A Unique Combination of Cognitive Modes",57203836326;56244640900;7404766197
Rethinking Our Assumptions About Language Model Evaluation,7103222266;35303536900;57007514800
Nanofluidic peristaltic pumps made from silica thin films,7402756644;6701863708;8929123100
Modeling common cause failures in systems with triple modular redundancy and repair,57191587072;37098602100;24401574900
Comparing model-based control methods for simultaneous stiffness and position control of inflatable soft robots,57203922639;6508306234;57191108291
Analysis and evaluation of partitioning techniques for multi-user CAD,53866135200;57197791798;57194141209
"Automated sounding for concrete bridge deck inspection through a multi-channel, continuously moving platform",57203188461;57190228554;15069700700
"Design and analysis of self-deployable, self-stiffening, and retractable arrays",57193878725;57207228809;57189294915
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",57212345817;56315352000;56577146500
Developing Decision Boundaries for Left-Turn Treatments,57210292389;7202083837;35729129900
Machine Learning for Offensive Security: Sandbox Classification Using Decision Trees and Artificial Neural Networks,57204829124;57217317667;57212106857
Simulation and Emulation of X-Ray Diffraction from Dynamic Compression Experiments,7005513246;57194875876;55159798000
Single pursuer and two cooperative evaders in the border defense differential game,57215811083;57200118993;7401994123
Volume and frequency-independent spreading of droplets driven by ultrasonic surface vibration,7406665619;56709364700;55943223600
Improving the Reliability of TMR with Nontriplicated I/O on SRAM FPGAs,25639041400;57200699937;7006631262
Statistical method to extract radiation-induced multiple-cell upsets in SRAM-Based FPGAs,7006631262;57215609504;54978625300
Electromagnetic excitation technique for nonlinear resonant ultrasound spectroscopy,57194053456;7004904337;57203028829
On the modeling of a contact-aided cross-axis flexural pivot,57208012133;7006441571;36349287300
Model predictive control and estimation of managed pressure drilling using a real-time high fidelity flow model,24780432200;56363360200;56148594700
Coherence analysis of the noise from a simulated highly heated laboratory-scale jet,57194853790;7202277096;14822519000
Measuring Compliance of Driver Yielding at Enhanced Pedestrian Crossings in Utah,57217283178;57218202833;6701646284
Array Antenna Gain Enhancement with the Poynting Streamline Method,55649569259;6603570606;55212512700
Exact relations between Rayleigh-Bénard and rotating plane Couette flow in two dimensions,7005253700;7004834766;7004904337
Cooperative relative navigation of multiple aircraft in global positioning system-denied/degraded environments,57193900229;57195596864;57210912098
Convolutional Neural Network Based on Complex Networks for Brain Tumor Image Classification with a Modified Activation Function,7005085503;25930868900;57210585829
Applying Compiler-Automated Software Fault Tolerance to Multiple Processor Platforms,55233755100;56698926600;56404157200
Augmented Reality for Interactive Robot Control,6701834327;57204032253;35546747200
Visio-acoustic data fusion for structural health monitoring applications,36668159600;51461952600;57203660684
A Low-Profile High-Efficiency Fast Battery Charger With Unifiable Constant-Current and Constant-Voltage Regulation,56709364700;6701610428;57217789464
Atomic flux circuits,56709287700;57209912956;16422844400
"Detecting and imaging stress corrosion cracking in stainless steel, with application to inspecting storage canisters for spent nuclear fuel",57214589312;55812232700;8715877100
Turning Disaster into Knowledge: Geotechnical Aspects of the 2018 Mw 7.1 Anchorage Alaska Earthquake,57218761022;57208012133;7103392045
When do workarounds help or hurt patient outcomes? The moderating role of operational failures,7004234161;57204903122;7004300863
Glue Technologies for Space Systems: An Introduction to a New AESS Technical Panel,7005513246;57214076898;6701720294
A New Boundary Harnack Principle (Equations with Right Hand Side),56950317400;6602198438;16245238300
Streamlining the preparation of “endotoxin-free” ClearColi cell extract with autoinduction media for cell-free protein synthesis of the therapeutic protein crisantaspase,57211987837;56371366400;57201739935
Developable mechanisms on regular cylindrical surfaces,57208255032;6602997992;8922674200
Contributions of Tip Leakage and Inlet Diffusion on Inducer Backflow,57214855898;55252859600;7202035366
Modeling acoustic resonators using higher-order equivalent circuits,57205293533;57216287324;7202277096
"Adapting standard external clustering metrics for repetitive, noisy observations",56767836200;57191586637;8421746800
The effects of voids in quasi-static indentation of resin-infused reinforced polymers,57203942414;7202006620;57205288709
"Isogeometric boundary element methods and patch tests for linear elastic problems: Formulation, numerical integration, and applications",57214773567;56300864300;7005411524
Irregular quadrature amplitude modulation for adaptive physical-layer security,8929123100;35209941000;36677010800
Machine-learned multi-system surrogate models for materials prediction,19638969800;57215280005;57199050938
Synchronization between sensors and cameras in movement data labeling frameworks,57190404271;6701777223;35562442700
Nonreciprocal Radio System Calibration for Propagation-Based Key Generation,7003702751;57196000820;7005513246
"Associations between evaporative cooling and dust-mite allergens, endotoxins, and β-(1 → 3)-d-glucans in house dust: A study of low-income homes",14059209700;57202319101;8724084200
"Heat transfer, efficiency and turn-down ratio of a dynamic radiative heat exchanger",57215598228;6701610428;57210912098
Space-Time Coded ARTM CPM for Aeronautical Telemetry,57218994430;16178649400;8321530600
Efficient evolutionary learning algorithm for real-time embedded vision applications,57203310052;12445208100;56433927200
Johnny's Journey Toward Usable Secure Email,57208771517;6602572190;57210928665
Model Boundary Approximation Method as a Unifying Framework for Balanced Truncation and Singular Perturbation Approximation,6505524737;57191156976;7005636820
Quality assessment of images with multiple distortions based on phase congruency and gradient magnitude,55727966500;57200497294;8372868700
Heat set creases in polyethylene terephthalate (PET) sheets to enable origami-based applications,13411176900;57204031131;57217581937
Identifying the relative importance of predictive variables in artificial neural networks based on data produced through a discrete event simulation of a manufacturing environment,55367023500;56584993700;57191156976
Moderating operator influence in human-swarm systems,56830076500;19639917400;57204029674
Intent-based robotic path-replanning: When to adapt new paths in dynamic environments,56380927900;57209581042;57193627694
Proving data race freedom in task parallel programs using a weaker partial order,57202579348;15831070600;7004904337
Identifying Team Selection and Alignment Factors by Delivery Method for Transportation Projects,57212879455;7202608915;56556056000
On Sparse Channel Estimation in Aeronautical Telemetry,8448666000;7005709969;24726409500
Probabilistic Network Observability of a Hybrid Power System with Communication Irregularities,55910450300;57202194800;7005513246
Network Reduction in Transient Stability Models using Partial Response Matching,56703039000;7003292762;7005513246
Origami-inspired sacrificial joints for folding compliant mechanisms,57196277369;57215031057;56577146500
Observed building damage patterns and foundation performance in Mexico City following the 2017 M7.1 Puebla-Mexico City earthquake,55638504300;57210260262;8321530600
Using non-destructive testing to predict bending modulus of carbon infiltrated-carbon nanotubes,23134948300;36011148100;55212512700
Mechanical and temperature resilience of multi-material systems for printed electronics packaging,57204551844;8533888200;57202017958
Feedback regulation of immune response to maximum exercise in Gulf war illness,57204553875;57218102993;16548784600
Examining Nonlinear Terahertz Photonic and Phononic Excitation with Two-Dimensional Spectroscopy,57191822951;57204029674;57204032253
Direct Comparison between Multi-Dimensional Terahertz Vibrational Spectroscopies,57197800472;57209881955;57188833818
Thermal transport due to liquid jet impingement on superhydrophobic surfaces with isotropic slip: Isoflux wall,7005513246;7006085792;57200686665
Just-noticeable difference binary pattern for reduced reference image quality assessment,7801636116;6508306234;57210419894
Free Space Excitation in Optofluidic Devices for Single Particle Detection,57203308821;35195145200;57215609504
Multiplexed Detection of Single Antibiotic Drug-Resistant Plasmids using Multimode Interference Waveguide Based Optofluidic Chip,8929123100;57195970826;57204553875
Three-Dimensional Hydrodynamic Focusing Designs for Integrated Optofluidic Detection Enhancement,57213582934;55487415500;6603288835
Transparency: Transitioning From Human–Machine Systems to Human-Swarm Systems,35725132100;56164575400;57188833818
An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,7102975249;56767836200;8421746800
An APMonitor Temperature Lab PID Control Experiment for Undergraduate Students,7004234161;7003292762;57204802622
An 8-bit 10-GHz 21-mW Time-Interleaved SAR ADC with Grouped DAC Capacitors and Dual-Path Bootstrapped Switch,7202316035;56263319900;8342785400
Design of a Clinical Decision Support System for Predicting Erectile Dysfunction in Men Using NHIRD Dataset,57210419894;57190974399;57205502574
Structure descriptor based on just noticeable difference for texture image classification,57164754700;57203221999;57205388766
3D hydrodynamic flow focusing-based micromixer enables high-resolution imaging for studying the early folding kinetics of G-quadruplex,57203221999;57215598228;57203308821
Thermal and hydrothermal stability of pure and silica-doped mesoporous aluminas,7006120837;57201484423;57218593446
Simulated Tremor Propagation in the Upper Limb: From Muscle Activity to Joint Displacement,24780432200;36349287300;56871132500
Hardware friendly robust synthetic basis feature descriptor,57203305966;55259726700;57189491950
Generating a Binary Symmetric Channel for Wiretap Codes,55588035200;56490084100;57204693186
Evaluation of intermetallic compound layer at aluminum/steel interface joined by friction stir scribe technology,6507359986;7004904337;7005371369
Soft body armor time-dependent back face deformation (BFD) with ballistics gel backing,6701863708;55279219900;57199050938
Phase II monitoring of variability using Cusum and EWMA charts with individual observations,57210585829;6507358470;55845968200
Relative moving target tracking and circumnavigation,35868117400;57217581937;57219015425
Visual servoing with feed-forward for precision shipboard landing of an autonomous multirotor,57201333744;55259726700;22952048100
Tracking multiple vehicles constrained to a road network from a uav with sparse visual measurements,57201864184;35612908400;57208184650
Abstractions and realizations of dynamic networks,23093686000;7005513246;57201739935
Quantifying the effects of various factors on the utility of design ethnography in the developing world,6603717022;57197773578;23050937200
Single-Event Characterization of a Stratix® 10 FPGA Using Neutron Irradiation,57208707588;24401574900;57208710317
Neutron radiation testing of fault tolerant risc-v soft processor on xilinx SRAM-based FPGAs,57191918589;57206834042;57208707585
Extended Abstract: Comparison of Peer and Instructor Qualitative Feedback on Presentations,56810920600;7003445799;57203245208
Experimental Performance of Block-Out Connections at the Base of Steel Moment Frames,57188688103;57188691775;57203980122
Lower-bound dislocation density mapping in microcoined tantalum using high-resolution electron backscatter diffraction,57216287324;35612908400;57216181629
Enhanced-Resolution SMAP Brightness Temperature Image Products,57205198823;36618663400;55601054600
Normalized Coordinate Equations and an Energy Method for Predicting Natural Curved-Fold Configurations,57214855898;6701720294;8705255200
Heat transfer to bouncing droplets on superhydrophobic surfaces,57217581937;57171695300;7102857304
"Relationships between footwear, foot structure, and foot muscle strength",57202609763;15521557600;36852156000
Running shoe optimal stiffness and speed,16245238300;57201366662;35562442700
Accelerating silicon photonic parameter extraction using artificial neural networks,7102270639;57207108623;57200363612
Effect of Post-weld Heat Treatment on Microstructure and Mechanical Properties of Dissimilar Metal Weld Used in Power Plants,36924577900;57191587072;7006583274
S-splines: A simple surface solution for IGA and CAD,57189843306;55213245300;57208255032
Atomistic survey of grain boundary-dislocation interactions in FCC nickel,57191862517;56677251600;57218685929
Lowman's model goes back to the movies,57208598187;35191151900;57219009389
Achieving tiered model quality in 3D structure from motion models using a multi-scale view-planning algorithm for automated targeted inspection,6507358470;6508087756;57193900229
"Disaster reconnaissance using multiple small unmanned aerial vehicles""",7005513246;46961076700;55547115089
EFFECT OF GYROSCOPE PARAMETERS ON GYROSCOPIC TREMOR SUPPRESSION IN A SINGLE DEGREE OF FREEDOM,55213245300;56677251600;57203269936
Deep RC: Enabling remote control through deep learning,57202323019;56024800300;12142543700
Encirclement of moving targets using relative range and bearing measurements,56020026900;57214580514;16229559200
Error-state LQR control of a multirotor UAV,57204029674;57193895552;36499438800
Visual servoing for multirotor precision landing in daylight and after-dark conditions,56677251600;57210914089;57216181629
Improved Ultrahigh-Resolution Wind Retrieval for RapidScat,36668159600;57188691775;34168247900
Scatterometer Backscatter Imaging Using Backus-Gilbert Inversion,56709364700;14033673100;7402407628
Don't Punish all of us: Measuring User Attitudes about Two-Factor Authentication,57212351059;57205767010;57210290270
Gesture commands for controlling high-level UAV behavior,57216486642;55727966500;36499438800
Using case-method pedagogy to facilitate audience awareness,57200641848;57214071214;7004234161
Highly accurate acoustic scattering: Isogeometric Analysis coupled with local high order Farfield Expansion ABC,16643231700;57193749678;56556056000
Dynamic optimization of a district energy system with storage using a novel mixed-integer quadratic programming algorithm,57111140800;57219330558;57218202833
Data classification and parameter identification in power systems by manifold learning,57193518829;56363360200;57191862517
Fabrication of demineralized bone matrix/polycaprolactone composites using large area projection sintering (LAPS),57212877661;55171433700;57212089454
Modeling of trans-grain twin transmission in AZ31 via a neighborhood-based viscoplastic self-consistent model,14833931300;7004904337;57194698845
Site effects in Mexico City basin: Past and present,55916448500;57195292516;7103392045
Thermal and Vapor Smoothing of Thermoplastic for Reduced Surface Roughness of Additive Manufactured RF Electronics,6701863708;57214937519;7403218372
In-plane permeability characterization of engineering textiles based on radial flow experiments: A benchmark exercise,56681156600;55698505100;7202316035
Physical-Layer Security: Does it Work in a Real Environment?,56689651300;7801609389;55279219900
"Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",54782837300;56009607700;6506736843
The design critique and the moral goods of studio pedagogy,7401970125;57208598187;57205257595
Single Particle Detection Enhancement with Wavelet-based Signal Processing Technique,57202602903;56608333500;57205500882
Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening,57196484337;8750608700;7006001488
Recognition of Chinese food using convolutional neural network,7006542177;7005513246;57200290256
Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model,57201864184;7006533953;55845968200
Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets,57205507684;23052031200;57192573362
Full-Duplex Jamming for Enhanced Hidden-Key Secrecy,8715877100;7003868048;57210290270
Adaptive Physical-Layer Security Through Punctured Coding for Secrecy,56215007300;57201634652;7402648240
The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?,6506674242;55458271500;7005654753
High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena,57207901363;56709287700;57217317667
The AFLOW Library of Crystallographic Prototypes: Part 2,6602577617;57202818911;6602649851
Informatics analysis of capillary electropherograms of autologously doped and undoped blood,14057706900;50162863000;56215007300
Origami-Based Design of Conceal-and-Reveal Systems,57206968876;57204032253;57197773578
A usability study of four secure email tools using paired participants,57212106357;6602572190;7101816438
Deconfliction in high-density unmanned aerial vehicle systems,55315026400;57193903292;56380927900
Approximate MLSE Equalization of SOQPSK-TG in Aeronautical Telemetry,57210290270;7003868048;57215432728
Losartan attenuates progression of osteoarthritis in the synovial temporomandibular and knee joints of a chondrodysplasia mouse model through inhibition of TGF-β1 signaling pathway,57215598228;57218105310;57200686665
Impact of pulse length on the accuracy of defect depth measurements in pulse thermography,8929123100;56112492400;57200529047
Predicting recrystallized grain size in friction stir processed 304L stainless steel,55353164900;15044701600;6603042352
Polar coding for physical-layer security without knowledge of the eavesdropper's channel,7006441571;55547115089;57210288854
"Direct Relative Edge Optimization, A Robust Alternative for Pose Graph Optimization",57204031131;7801676127;57209881955
Compressive strength of high-strength concrete masonry grouted prisms,55422614200;7004060735;56830076500
The polygraph: A data structure for genome alignment and variation detection,6701774874;6603354235;57203234366
Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,55812232700;57203836305;57215684781
Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,7004615647;7402786794;36149254500
The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,57205293533;56196521900;35338971800
Turning depths: Evanescent to propagating wave kinetic energy density,56585491000;7402648240;16308483700
Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,55726346900;16041305200;8935514400
Over-Design Versus Redesign as a Response to Future Requirements,57212343330;56830076500;57208184650
Control of Net Radiative Heat Transfer with a Variable-Emissivity Accordion Tessellation,57218202833;56797372300;56397285100
Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,57195398251;7003388995;57212147414
Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,57204944822;7004904337;57202088821
Impact of soft errors on large-scale FPGA cloud computing,56248593800;57212110613;7201675107
On-chip FPGA debug instrumentation for machine learning applications,55353164900;57191995887;57208771517
Measuring the transverse Young's modulus of maize rind and pith tissues,57215697686;23009691800;57193409777
Configuration estimation for accurate position control of large-scale soft robots,6602168494;6602499334;57211500187
Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,7101671848;23052031200;7102879142
Target control and source estimation metrics for dynamical networks,7004904337;57201509548;56148594700
Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,57212879455;57204596520;56767836200
Dynamics of a capsule flowing in a tube under pulsatile flow,57208845618;57203942414;57214855898
Failure time distributions for complex equipment,7004904337;57216076371;57210260262
An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,57201125120;8397084400;35597296700
A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,57200699937;57208246750;57201912667
Reduced-order modeling through machine learning and graph-theoretic approaches for brittle fracture applications,57195921912;15766049500;55422614200
Necessary and Sufficient Conditions on State Transformations That Preserve the Causal Structure of LTI Dynamical Networks,56819566000;6508306234;7004904337
"Dynamic Networks: Representations, Abstractions, and Well-Posedness",9277159100;56819566000;57193565771
Alpha Model Domination in Multiple Choice Learning,57191587072;57192955909;57217317667
Static structures in leaky mode waveguides,57201864184;6602928070;7004904337
Origami fold states: Concept and design tool,57212879455;55859152500;57204433875
Geometrically Motivated Reparameterization for Identifiability Analysis in Power Systems Models,57191620725;36668159600;7006542177
"Combined trajectory, propulsion and battery mass optimization for solar-regenerative high-altitude long endurance unmanned aircraft",57208341600;56818839700;56363360200
The effect of communication and vehicle properties on the search performance of a swarm of unmanned aerial vehicles,57201658993;46961076700;7005513246
Simulating stall inception in a high-performance fan using createt m-av kestrel,7004609408;57198443855;18535712500
Microfluidic temperature behavior in a multi-material 3D printed chip,57200363612;35562442700;57205129154
Takeoff and performance trade-offs of retrofit distributed electric propulsion for urban transport,57200699937;57209399454;57197765353
Identifying mode shapes of turbo-machinery blades using principal component analysis and support vector machines,56149906900;57191862517;8705255200
New uses of instagram in design history education,55141781300;57214773567;57212879455
Exploring play interventions in design education,57202293242;13607032600;36769181100
"Exploring the moral differences, between industrial design, engineering and entrepreneurship students",57214773567;24759275600;6507359986
Progress on static structures for leaky mode waveguides,55967471000;55547123342;7003381644
Polarization-resolved single-photon measurements of nonlinear Thomson scattering,6701834327;57217867341;57217871738
The personification of big data,6701777223;7005513246;57218202833
Cooperating in long-term relationships with time-varying structure,36668159600;57207334294;57195286623
Modeling pressurized dense phase coal fluidization and transport,56484754900;57188755995;7103248108
A usability study of five two-factor authentication methods,55588035200;57191997521;57208784903
Improving photophoretic trap volumetric displays [Invited],57191620725;55286783200;57202152391
Designing emergent swarm behaviors using behavior trees and grammatical evolution,57201909948;7004904337;6507317548
"Is that you, Alice? A usability study of the authentication ceremony of secure messaging applications",57204693186;36499438800;10640480600
Analyzing the safety impacts of raised medians,57211217749;57214365851;57211516485
Action needed! Helping users find and complete the authentication ceremony in signal,57193574682;10040303000;57201864184
When is a tree really a truck? Exploring mental models of encryption,56102505100;7004904337;57208784903
Frequency response of the leap motion controller and its suitability for measuring tremor,57203922639;16178649400;57211516485
DFT-based frequency offset estimators for 16-APSK,57191862517;57216183270;7402756644
Doppler power spectra from vehicle-to-everything propagation experiments,57217866402;57218761022;56830076500
Analysis of inertial measurement data from a model rocket payload,15044701600;57218994299;14033673100
On carrier frequency and phase synchronization for coded 16-APSK in aeronautical mobile telemetry,57204434337;57209473859;57192300416
