Author,Organization Name,Type
Laney J.,Brigham Young University,University
Viglione M.,Brigham Young University,University
Nordin G.P.,Brigham Young University,University
Knighton B.E.,Brigham Young University,University
Nielson M.,Brigham Young University,University
Hardy R.T.,Brigham Young University,University
Alejandro A.,Brigham Young University,University
Rawlings L.,Brigham Young University,University
Johnson J.A.,Brigham Young University,University
Peatross J.,Brigham Young University,University
Atkinson N.,Brigham Young University,University
Hodge D.,Brigham Young University,University
Pratt B.,Brigham Young University,University
Romero M.,Brigham Young University,University
Schulzke C.,Brigham Young University,University
Ware M.,Brigham Young University,University
Ottosson H.J.,Brigham Young University,University
Hamilton E.S.,Brigham Young University,University
Crane N.B.,Oregon State University,University
Crane N.B.,Brigham Young University,University
Aryal B.R.,Brigham Young University,University
Ranasinghe D.R.,Brigham Young University,University
Westover T.R.,Brigham Young University,University
Calvopiña D.G.,Brigham Young University,University
Davis R.C.,Brigham Young University,University
Harb J.N.,Brigham Young University,University
Woolley A.T.,Brigham Young University,University
Fujimoto M.S.,Brigham Young University,University
Lyman C.A.,Brigham Young University,University
Clement M.J.,Brigham Young University,University
Bunimovich L.,Georgia Institute of Technology,University
Passey D.J.,Brigham Young University,University
Smith D.,Brigham Young University,University
Webb B.,Brigham Young University,University
Borden M.J.,Coreform LLC,Company
Borden M.J.,Brigham Young University,University
Thomas D.C.,Coreform LLC,Company
Yu M.,Sun Yat-sen University,University
Zhang D.,Sun Yat-sen University,University
Lee D.-J.,Nanfang College of Sun Yat-sen University,University
Lee D.-J.,Brigham Young University,University
Lee D.-J.,SYSU-CMU Shunde International Joint Research Institute,University
Desai A.,Cubiscan,Company
Desai A.,CubiScan,Company
Gunnarsson A.,Chalmers University of Technology,University
Andersson K.,Chalmers University of Technology,University
Adams B.R.,Brigham Young University,University
Fredriksson C.,LKAB,Company
Peters W.,Los Alamos National Lab,Company
Jones T.,Los Alamos National Lab,Company
Jones T.,Brigham Young University,University
Efimov A.,Los Alamos National Lab,Company
Pedersoli E.,Elettra-Sincrotrone Trieste S.C.pA.,Company
Foglia L.,Elettra-Sincrotrone Trieste S.C.pA.,Company
Mincigrucci R.,Elettra-Sincrotrone Trieste S.C.pA.,Company
Nikolov I.,Elettra-Sincrotrone Trieste S.C.pA.,Company
Trebino R.,Georgia Institute of Technology,University
Sandberg R.,Brigham Young University,University
Danailov M.,Elettra-Sincrotrone Trieste S.C.pA.,Company
Capotondi F.,Elettra-Sincrotrone Trieste S.C.pA.,Company
Bencivenga F.,Elettra-Sincrotrone Trieste S.C.pA.,Company
Bowlan P.,Los Alamos National Lab,Company
Frazer D.,University of California-Berkeley,University
Bair J.L.,Brigham Young University,University
Hosemann P.,University of California-Berkeley,University
Warr C.,Brigham Young University,University
Valdoz J.C.,Brigham Young University,University
Bickham B.P.,Brigham Young University,University
Knight C.J.,Brigham Young University,University
Franks N.A.,Brigham Young University,University
Chartrand N.,Brigham Young University,University
Van Ry P.M.,Brigham Young University,University
Christensen K.A.,Brigham Young University,University
Cook A.D.,Brigham Young University,University
Stevenson P.D.,Brigham Young University,University
Hyatt P.,Brigham Young University,University
Killpack M.D.,Brigham Young University,University
Keller A.,Brigham Young University,University
Anderson J.,Brigham Young University,University
Wen S.-J.,Cisco Systems Inc,Company
Wen S.-J.,Cisco System Inc.,Company
Fung R.,Cisco Systems Inc,Company
Chambers C.,Cisco Systems Inc,Company
Ganjalizadeh V.,University of California at Santa Cruz,University
Ganjalizadeh V.,University of California Santa Cruz,University
Ganjalizadeh V.,University of California,University
Wright J.G.,Brigham Young University,University
Warnick K.F.,Brigham Young University,University
Selvan K.T.,Sri Sivasubramaniya College of Engineering,University
Fistler M.,Chalmers University of Technology,University
Fistler M.,Chalmers University,University
Kerstein A.,Consultant,Company
Lignell D.O.,Brigham Young University,University
Oevermann M.,Chalmers University of Technology,University
Oevermann M.,Brandenburgische Technische Universität Cottbus-Senftenberg 01968,University
Oevermann M.,Chalmers University,University
Shamsabadi A.,Supervising Transportation Engineer,Company
Schwicht D.E.W.,Brigham Young Univ.,University
Dasmeh A.,Structural Analyst Engineer,Company
Rollins K.M.,Brigham Young University,University
Rollins K.M.,Brigham Young Univ.,University
Taciroglu E.,Univ. of California Los Angeles,University
Manandhar K.,University of Maryland,University
Ren Y.,University of Maryland,University
Stasak D.,University of Maryland,University
Hou H.,University of Maryland,University
Kirsch D.,University of Maryland,University
Sarker S.,SLAC National Accelerator Laboratory,Company
Mehta A.,SLAC National Accelerator Laboratory,Company
Sardar S.,NICE America Research Inc.,Company
Xiao M.,NICE America Research Inc.,Company
Weaver J.L.,National Institute of Standards and Technology,University
León C.,Brigham Young University,University
Hart G.,Brigham Young University,University
Sunaoshi T.,Hitachi-Technologies America Inc.,Company
Lemmon J.P.,NICE,Company
Takeuchi I.,University of Maryland,University
Howell R.G.,Brigham Young University,University
Jensen R.R.,Brigham Young University,University
Petersen S.L.,Brigham Young University,University
Larsen R.T.,Brigham Young University,University
Bahari M.,Brigham Young University,University
Malmberg M.A.,Brigham Young University,University
Brown D.M.,Brigham Young University,University
Hadi Nazari S.,Brigham Young University,University
Lewis R.S.,Brigham Young University,University
Watt G.D.,Brigham Young University,University
Petrie A.,Brigham Young Univeristy,University
Petrie A.,Brigham Young University,University
Kinnison W.,Brigham Young Univeristy,University
Layton K.,ON Semiconductor,Company
Taysom B.S.,Brigham Young University,University
Taysom B.S.,Pacific Northwest National Laboratory,Company
Sorensen C.D.,Brigham Young University,University
Guo Z.,Nanfang College of Sun Yat-sen University,University
Zhang M.,Brigham Young University,University
Simons T.,Brigham Young University,University
Fuller S.G.,Brigham Young University,University
McCown A.S.,Brigham Young University,University
Clayton M.F.,Brigham Young University,University
Bilodeau R.A.,Purdue University,University
Bowden A.E.,SYSU-CMU Shunde International Joint Research Institute,University
Bowden A.E.,Brigham Young University,University
Fullwood D.T.,Brigham Young University,University
Ziaee M.,University of South Florida,University
Jin M.,College of Engineering,University
Zhu B.,South China University of Technology,University
Mo J.,College of Engineering,University
Yang Z.,Brigham Young University,University
Yang Z.,Univ. of Alaska Anchorage,University
Yang Z.,College of Engineering,University
Yang Z.,Wireless Technology Development,Company
Zhang X.,South China University of Technology,University
Wu R.,Brigham Young University,University
Beutler J.,Brigham Young University,University
Baxter L.L.,Brigham Young University,University
Morgan W.S.,Brigham Young University,University
Christensen J.E.,Brigham Young University,University
Hamilton P.K.,Brigham Young University,University
Jorgensen J.J.,Brigham Young University,University
Campbell B.J.,Brigham Young University,University
Hart G.L.W.,Brigham Young University,University
Forcade R.W.,Brigham Young University,University
Kunzler J.W.,Brigham Young University,University
Bartschi J.M.,Brigham Young University,University
Schnepf P.D.,Brigham Young University,University
Davis A.,Brigham Young University,University
Vanfleet R.,Brigham Young University,University
Jensen B.D.,Brigham Young University,University
Kurniawan C.,Brigham Young University,University
Baird S.,Brigham Young University,University
Johnson O.K.,Brigham Young University,University
Searle M.,Brigham Young University,University
Crockett J.,Brigham Young University,University
Crockett J.,Mechanical Engineering,Company
Crockett J.,Brigham Young UniversityUT  84602,University
Maynes D.,Brigham Young University,University
Maynes D.,Mechanical Engineering,Company
Maynes D.,Brigham Young UniversityUT  84602,University
Park J.L.,Brigham Young University,University
Canizales K.A.,Brigham Young University,University
Argyle M.D.,Brigham Young University,University
Woodfield B.F.,Brigham Young University,University
Stowers K.J.,Brigham Young University,University
Smiley A.J.,University of Colorado Colorado Springs,University
Plett G.L.,University of Colorado Colorado Springs,University
Godfrey P.C.,Brigham Young University,University
Allen G.N.,Brigham Young University,University
Benson D.,Utah Valley University,University
Hansen L.T.,Brigham Young University,University
Wagoner R.H.,Ohio State University,University
Wagoner R.H.,The Ohio State University,University
Lim H.,Brigham Young University,University
Lim H.,Department of Computational Materials & Data Science,Company
Lim H.,Department of Computational Materials and Data Science,Company
Lim H.,Roseman University of Health Sciences,University
Carroll J.D.,Department of Materials Mechanics & Tribology,Company
Zhou G.,Ohio State University,University
Bong H.J.,Ohio State University,University
Ogbeibu S.,Curtin University,University
Emelifeonwu J.,Curtin University,University
Senadjki A.,Universiti Tunku Abdul Rahman (UTAR),University
Gaskin J.,Brigham Young University,University
Kaivo-oja J.,University of Turku,University
Chen K.,Southwest Jiaotong University,University
Horne R.R.,Brigham Young University,University
Rich J.T.,Brigham Young University,University
Bradley M.W.,Brigham Young University,University
Pitt W.G.,Brigham Young University,University
Orme A.D.,Brigham Young University,University
Soderquist D.R.,Brigham Young University,University
Gorrell S.E.,Brigham Young University,University
Lystrup C.,Brigham Young University,University
George A.,Brigham Young University,University
Zobell B.,Brigham Young University,University
Boster K.,Brigham Young University,University
Childs C.,Brigham Young University,University
Girod H.,Brigham Young University,University
Ploeg S.,Brigham Young University,University
Gunther H.,Brigham Young University,University
Camacho R.,Brigham Young University,University
Skaggs P.,Brigham Young University,University
Fulda N.,Brigham Young University,University
Stout J.M.,Brigham Young University,University
Baumgarten T.E.,Brigham Young University,University
Stagg G.G.,Brigham Young University,University
Cannon M.J.,Brigham Young University,University
Keller A.M.,Brigham Young University,University
Perez-Celis A.,Boeing Satellite Systems,Company
Perez-Celis A.,Brigham Young University,University
Wirthlin M.J.,Brigham Young University,University
Best C.M.,Brigham Young University,University
Rupert L.,Brigham Young University,University
Ong J.,Brigham Young University,University
Richards D.,Brigham Young University,University
Larsen J.L.,Brigham Young University,University
McElderry J.,Brigham Young University,University
Pehrson N.A.,Brigham Young University,University
Ames D.C.,Brigham Young University,University
Ignaut B.,Degrees of Freedom LLC,Company
Smith S.P.,Brigham Young University,University
Arya M.,California Institute of Technology,University
Adamson M.,Fehr Peers Transportation Consultants,Company
Schultz G.G.,Brigham Young University,University
Schultz G.G.,Ira A. Fulton College of Engineering and Technology,University
Schultz G.G.,Brigham Young Univ.,University
Saito M.,Brigham Young University,University
Saito M.,Ira A. Fulton College of Engineering and Technology,University
Saito M.,Brigham Young Univ.,University
Stevens M.D.,Brigham Young University,University
Pearce W.,SilentBreak Security,Company
Landers N.,SilentBreak Security,Company
Francom D.,Los Alamos National Laboratory,Company
Walters D.J.,Los Alamos National Laboratory,Company
Barber J.L.,Los Alamos National Laboratory,Company
Luscher D.J.,Los Alamos National Laboratory,Company
Lawrence E.,Los Alamos National Laboratory,Company
Biswas A.,Los Alamos National Laboratory,Company
Biwer C.M.,Los Alamos National Laboratory,Company
Banesh D.,Los Alamos National Laboratory,Company
Lazarz J.,Los Alamos National Laboratory,Company
Vogel S.C.,Los Alamos National Laboratory,Company
Ramos K.,Los Alamos National Laboratory,Company
Bolme C.,Los Alamos National Laboratory,Company
Sandberg R.L.,Brigham Young University,University
Ahrens J.,Los Alamos National Laboratory,Company
Salmon J.L.,Brigham Young University,University
Willey L.C.,Brigham Young University,University
Casbeer D.,Air Force Research Laboratory,Company
Garcia E.,Air Force Research Laboratory,Company
Von Moll A.,Air Force Research Laboratory,Company
Trapuzzano M.,University of South Florida,University
Tejada-Martínez A.,University of South Florida,University
Guldiken R.,University of South Florida,University
Crane N.,Brigham Young University,University
Thurlow C.A.,Brigham Young University,University
Gregg J.F.,Brigham Young University,University
Anderson B.E.,Brigham Young University,University
Remillieux M.C.,Geophysics Group (EES-17),Company
Bilancia P.,University of Genova,University
Berselli G.,University of Genova,University
Magleby S.,Brigham Young University,University
Howell L.,Brigham Young University,University
Park J.,Brigham Young University,University
Park J.,Brigham Young UniversityUT,University
Price C.,Brigham Young University,University
Pixton D.,Brigham Young University,University
Aghito M.,SINTEF,Company
Aghito M.,SINTEF Petroleum Research,Company
Nybø R.,SINTEF,Company
Nybø R.,SINTEF Petroleum Research,Company
Bjørkevoll K.,SINTEF,Company
Leete K.M.,Brigham Young University,University
Liu J.,Naval Research Laboratory,Company
Liu J.,U.S. Naval Research Laboratory,Company
Wall A.T.,Air Force Research Laboratory,Company
Wall A.T.,Battlespace Acoustics Branch,Company
Wall A.T.,U.S. Air Force Research Laboratory,Company
Galvez de Leon P.,Brigham Young University,University
Shahandashti S.K.F.,Freelance data scientist,Company
Chamberlin R.,Resource Systems Group,Company
Liu L.,University of Electronic Science and Technology of China,University
Liu L.,Department of Physics and Astronomy,Company
Diao J.,Brigham Young University,University
Diao J.,University of California,University
Eckhardt B.,Philipps-Universität Marburg,University
Doering C.R.,University of Michigan,University
Whitehead J.P.,Brigham Young University,University
Huang Z.,Guangzhou Sport University,University
Du X.,Lanzhou University,University
Chen L.,Lanzhou University,University
Li Y.,Tsinghua University,University
Li Y.,Guangzhou Sport University,University
Li Y.,Wuhan Institute of Physics and Mathematics,University
Liu M.,Lanzhou University,University
Jin L.,Guangzhou Sport University,University
James B.,Brigham Young University,University
Quinn H.,Los Alamos National Laboratory,Company
Quinn H.,ISR-3-space Data Systems,Company
Goeders J.,Brigham-Young University,University
Goeders J.,Brigham Young University,University
Manring L.,Duke University,University
Pederson J.,Columbia University,University
Potts D.,Ira A. Fulton College,University
Boardman B.,Engineering Technology and Design Division,Company
Mascarenas D.,Engineering Institute,University
Harden T.,Engineering Technology and Design Division,Company
Cattaneo A.,Los Alamos National Laboratory,Company
Cattaneo A.,Engineering Technology and Design Division,Company
Samuelson C.R.,Brigham Young University,University
Duffy-Deno C.A.,University of California San Diego,University
Whitworth C.B.,The University of Texas at Dallas,University
Mascareñas D.D.L.,Los Alamos National Laboratory,Company
Tippmann J.D.,Los Alamos National Laboratory,Company
Qu Y.,Nanyang Technological University,University
Shu W.,Zero-Error Systems,Company
Qiu L.,College of Electronics and Information Engineering,University
Kuan Y.,International College of Semiconductor Technology,University
Chiang S.W.,Brigham Young University,University
Chang J.S.,Nanyang Technological University,University
Bopp D.G.,National Institute of Standards and Technology,University
Taylor E.,Brigham Young University,University
Le K.,University of Houston Texas,University
Schima S.,National Institute of Standards and Technology,University
Hummon M.T.,National Institute of Standards and Technology,University
Kitching J.,National Institute of Standards and Technology,University
Kaoumi D.,North Carolina State UniversityNC,University
Ohara Y.,Tohoku University,University
Stuber Geesey M.A.,Geophysics Group (EES-17),Company
Xi L.,North Carolina State UniversityNC,University
Schoell R.,North Carolina State UniversityNC,University
Bryan C.R.,Sandia National Laboratories,Company
Enos D.G.,Sandia National Laboratories,Company
Summa D.A.,Non-Destructive Testing and Evaluation Group (E-6),Company
Ulrich T.J.,Detonation Science and Technology (Q-6),Company
Shayer Z.,Department of Physics,Company
Cabas A.,North Carolina State Univ.,University
Beyzaei C.,Exponent,Company
Franke K.,Brigham Young University,University
Franke K.,Brigham Young Univ,University
Franke K.,Brigham Young Univ.,University
Koehler R.,Univ. of Nevada,University
Pierce I.,Univ. of Nevada,University
Stuedlein A.,Oregon State Univ.,University
Christie S.,COWI Marine North America,Company
Tucker A.L.,Boston University Questrom School of Business,University
Zheng S.,University of Victoria,University
Bohn R.E.,University of California San Diego,University
Sacchi C.,University of Trento,University
Schlegel C.,HCDC Llc,Company
Rossi T.,University of Roma Tor Vergata,University
Noble M.,L3 Technologies,Company
Ruggieri M.,HCDC Llc,Company
Cheung K.-M.,Jet Propulsion Lab,Company
Marchese M.,University of Genoa,University
Granelli F.,University of Trento,University
Popescu V.,University of Transilvania,University
Murroni M.,University of Cagliari,University
Conci N.,University of Trento,University
Allen M.,Brigham Young University,University
Shahgholian H.,KTH Royal Institute of Technology,University
Hunt J.P.,Brigham Young University,University
Zhao E.L.,Brigham Young University,University
Soltani M.,Brigham Young University,University
Frei M.,Brigham Young University,University
Nelson J.A.D.,Brigham Young University,University
Bundy B.C.,Brigham Young University,University
Greenwood J.R.,Brigham Young University,University
Fanning D.T.,Brigham Young University,University
Oliphant K.,Concepts NREC,Company
Oliphant K.,Concepts NRECVT  05001,Company
Goates C.B.,Brigham Young University,University
Calton M.F.,Brigham Young University,University
Copley D.C.,Caterpillar Inc.,Company
Smith R.,Optisys LLC,Company
Smith R.,Qualified Rapid Products,Company
Smith R.,University of Montana,University
Rosen J.,University of Montana,University
Ventura D.,Brigham Young University,University
Sisodia S.M.,Uppsala University,University
Bull D.J.,University of Southampton,University
George A.R.,Brigham Young University,University
Gamstedt E.K.,Uppsala University,University
Mavrogordato M.N.,University of Southampton,University
Spearing S.M.,University of Southampton,University
Taus M.,Massachusetts Institute of Technology,University
Rodin G.J.,Oden Institute for Computational Engineering and Sciences,University
Hughes T.J.R.,Institute for Computational Engineering and Sciences,University
Hughes T.J.R.,Oden Institute for Computational Engineering and Sciences,University
Searle H.,Brigham Young UniversityUT,University
Gomes M.A.C.,Instituto de Telecomunicacoes,University
Gomes M.A.C.,Instituto de Telecomunicacões,University
Gomes M.A.C.,Instituto de Telecomunicações,University
Gomes M.A.C.,University of Coimbra,University
Vilela J.P.,University of Coimbra,University
Nyshadham C.,Brigham Young University,University
Rupp M.,Fritz Haber Institute of the Max Planck Society,University
Bekker B.,Brigham Young University,University
Shapeev A.V.,Skolkovo Institute of Science and Technology,University
Mueller T.,Johns Hopkins University,University
Rosenbrock C.W.,Brigham Young University,University
Csányi G.,University of Cambridge,University
Wingate D.W.,Brigham Young University,University
Kamminga J.W.,University of Twente,University
Jones M.,Brigham Young University,University
Seppi K.,Brigham Young University,University
Meratnia N.,University of Twente,University
Havinga P.J.M.,University of Twente,University
Johnston J.D.,Brigham Young University,University
Cowger A.E.,Brigham Young University,University
Graul R.J.,Brigham Young University,University
Nash R.,Brigham Young University,University
Tueller J.A.,Brigham Young University,University
Hendrickson N.R.,Brigham Young University,University
Robinson D.R.,Brigham Young University,University
Beard J.D.,Brigham Young University,University
Weber K.S.,Brigham Young University,University
Josephson C.,Brigham Young University,University
Ruoti S.,MIT Lincoln Laboratory,Company
Ruoti S.,Department of Electrical Engineering and Computer Science,Company
Ruoti S.,University of Tennessee,University
Ruoti S.,Sandia National Laboratories,Company
Ruoti S.,Brigham Young University,University
Seamons K.,Brigham Young University,University
Paré P.E.,KTH Royal Institute of Technology,University
Grimsman D.,University of California at Santa Barbara,University
Wilson A.T.,Brigham Young University,University
Warnick S.,Brigham Young University,University
Miao X.,Henan University of Science and Technology,University
Chu H.,Changchun Institute of Optics,University
Liu H.,Changchun Institute of Optics,University
Yang Y.,Northwestern Polytechnical University,University
Yang Y.,Lafayette College,University
Yang Y.,Wuhan Institute of Physics and Mathematics,University
Li X.,Institute of Thermal Science and Technology,University
Li X.,Department of Mathematics,Company
Li X.,Sun Yat-sen University,University
Li X.,Henan University of Science and Technology,University
Sargent B.,Brigham Young University,University
Brown N.,Brigham Young University,University
Pires dos Santos R.,Brigham Young University,University
Dean D.L.,Brigham Young University,University
Weaver J.M.,Brigham Young University,University
Ashcraft C.C.,Brigham Young University,University
Shaikh M.T.,Brigham Young University,University
Ogles B.,Brigham Young University,University
Aldous P.,Brigham Young University,University
Mercer E.,Brigham Young University,University
Bingham E.,Ira A. Fulton College of Engineering and Technology,University
Bingham E.,Ira A Fulton College of Engineering and Technology,University
Edward Gibson G.,Arizona State Univ.,University
El Asmar M.,Arizona State Univ.,University
Hogstrom C.,Brigham Young University,University
Hogstrom C.,Rockwell Collins,Company
Svenda V.G.,Tufts University,University
Stankovic A.M.,Tufts University,University
Saric A.T.,Serbia Academy of Engineering Sciences of Serbia,University
