Paper,Reviewers
10.1109/LRA.2020.2965393,57212383793;19639917400;57211987837
10.1109/IRPS45951.2020.9128839,7006799143;57208246750;26029526200
10.3390/MI11040349,57200375892;9942259800;57218593962
10.1109/MAP.2020.2969269,57194503011;57195591421;56767836200
10.1103/PhysRevFluids.5.044308,57206455220;7202277096;57211158470
10.1061/(ASCE)BE.1943-5592.0001533,57198919773;56559765400;56045493000
10.1021/acsaem.9b02252,7102843798;8929123100;57195286623
10.1016/j.apenergy.2019.114382,35336731800;57194874146;7004479819
10.1109/CICC48029.2020.9075917,19638969800;57204761536;57188654880
10.1016/j.ijmachtools.2019.103512,6506484066;55812232700;57199980412
10.1016/j.sna.2020.111851,57190384916;57211158470;56260937200
10.1016/j.mechmachtheory.2019.103700,7005408810;7201675107;57212415946
10.1016/j.apenergy.2019.114358,57208717150;57193834529;56692412900
10.1016/j.commatsci.2019.109340,57216181629;56767836200;36245410800
10.1080/09205071.2020.1715267,57218593962;57218221803;36668159600
10.1109/JMEMS.2019.2953152,7006111578;57194686620;36924577900
10.1007/s10853-019-04125-z,57199050938;7006583274;23052031200
10.1016/j.ijheatmasstransfer.2019.119031,57200514682;57219005376;57218886193
10.1016/j.micromeso.2019.109799,57208184650;57194027885;57217581770
10.1016/j.isatra.2019.08.014,55638504300;6701421652;55585953300
10.1016/j.est.2019.101043,57203942414;57190402922;7006111578
10.1109/TAES.2019.2918014,57215823167;57205288709;7402786794
10.1016/j.ijheatmasstransfer.2019.118924,55807316700;56376235200;7003545107
10.1038/s41587-019-0399-1,8667231600;56390719200;57217482839
10.1016/j.msea.2019.138704,7005934389;57192981384;7004495126
10.1016/j.jclepro.2019.118703,55588035200;9277159100;57210928665
10.1049/el.2019.2591,57216739000;57204761536;57204469757
10.1080/09205063.2019.1669126,56330168500;56164575400;57218593962
10.1177/0021998320959820,56709287700;57218593446;7004904337
10.1109/MCSE.2020.3012099,6701720294;56957771800;57209538650
10.1007/978-3-030-51194-4_40,7408416878;7005067917;6701501207
10.1007/978-3-030-52246-9_44,57218202833;8410729500;57207112163
10.1088/1361-6439/ab4cc9,57031187500;57213476529;55542008600
10.1109/RAMS48030.2020.9153662,57191587072;57204964732;7004904337
10.1177/0278364920911960,12544690900;6507359986;57195591421
10.14733/cadaps.2020.1020-1033,36006215900;57204607180;7202518970
10.1016/j.ndteint.2019.102177,16422844400;57203028829;57202116348
10.2514/1.J058778,57211516485;13411176900;57218202833
10.1177/0361198120915470,57195804520;35562442700;7005523706
10.1007/978-3-030-52249-0_18,57204555914;57209978209;35147940600
10.1007/s40870-020-00254-8,6505878659;7005636820;6507447149
10.2514/1.I010766,46961076700;7101643443;7410171017
10.1109/TNS.2019.2956473,57205645397;57207689986;35209941000
10.1109/TNS.2019.2955006,56957771800;57189235340;57211987837
10.1016/j.ndteint.2019.102181,6701610428;55212512700;57199801999
10.1016/j.mechmachtheory.2019.103618,57217581770;16229559200;6507359986
10.1016/j.isatra.2020.05.035,56363360200;7402967162;35368447500
10.2514/1J059112,57216748895;57219330558;7202751866
10.1177/0361198120915466,57216751001;57216749286;7005357023
10.1109/LAWP.2019.2956219,7406552522;35088650000;56196521900
10.1017/jfm.2020.718,55837442300;57214937519;14822519000
10.2514/1.I010802,57218202833;6701876192;46961076700
10.1109/ACCESS.2020.2993618,8602381900;55487415500;7005251917
10.1109/TNS.2019.2959975,57214365851;57211493546;57189375802
10.1007/978-3-030-12243-0_2,57195343816;34874297000;16178649400
10.1007/978-3-030-47721-9_5,7402967162;57204032253;57201912667
10.1109/TCSI.2020.3007827,57203942414;57193834529;57214855898
10.1117/12.2552585,57194162490;57195398251;57195970826
10.1016/j.ndteint.2019.102180,7005513246;7402786794;6701610428
10.1061/9780784482810.020,57192595504;7003498769;57202612841
10.1002/joom.1015,56149906900;57189294915;57210927548
10.1109/MAES.2019.2959104,7006441571;57218202833;57211516485
10.1016/j.synbio.2019.11.003,57218593962;35236338800;56330168500
10.1016/j.mechmachtheory.2019.103584,18535712500;7403218372;57208255032
10.1115/1.4043770,56875349800;56559548600;57193265581
10.3397/1/376742,55967471000;24831334500;57214229367
10.1109/ICMLA.2019.00157,57210928665;36176552000;57197773578
10.1177/0021998319858024,56714263700;35747244700;35336731800
10.1016/j.cma.2019.112591,57204761536;57194006378;18042274300
10.1109/GLOBECOM38437.2019.9013808,7202083837;57210290270;57195398251
10.1038/s41524-019-0189-9,57195574701;7801676127;35747244700
10.1145/3359427.3361920,46961076700;57203661089;57218886193
10.1109/TAP.2019.2925177,26538762200;57210287346;57218105310
10.1111/ina.12600,57201772566;57214071214;6602749964
10.1016/j.ijheatmasstransfer.2019.118441,7410190129;35316779800;57211500187
10.1109/MILCOM47813.2019.9020989,57197521815;57216749286;57210288045
10.1109/MSEC.2019.2933683,35621274900;57203245208;55681652500
10.1109/TAC.2019.2908523,35792700800;16053936800;7202083837
10.1016/j.image.2019.08.013,57198146081;57190189579;7004904337
10.1088/1361-665X/ab49df,55916540700;57195591421;57204032253
10.1080/02286203.2018.1558736,57191156976;57208246750;57202321033
10.1109/SMC.2019.8914592,57195420301;57195343816;57188688103
10.1109/SMC.2019.8914520,24923036100;8244752200;7201675107
10.23919/FMCAD.2019.8894270,12544690900;57192959498;8621794000
10.1061/(ASCE)CO.1943-7862.0001704,57202921889;57212879455;57204761536
10.1109/TAES.2018.2890350,7005513246;56196521900;55649569259
10.1109/NAPS46351.2019.8999986,34874297000;6603383055;57190404271
10.1109/NAPS46351.2019.9000378,55945437600;57218761022;55911870000
10.1016/j.mechmachtheory.2019.05.023,57188764210;57190849274;57209881955
10.1016/j.soildyn.2019.105708,54911216200;6602889035;57194391871
10.1088/1361-6439/ab3fd2,57197797367;56714263700;56330970800
10.1088/2058-8585/ab38e9,12778890800;57211422454;6507359986
10.1145/3307339.3342188,7003292762;36675881600;57218886193
10.1109/IRMMW-THz.2019.8874439,56830076500;7005513246;57204029674
10.1109/IRMMW-THz.2019.8874285,57201432287;7004904337;56767836200
10.1016/j.ijheatmasstransfer.2019.05.113,7006085792;56221901100;12445742400
10.1117/1.OE.58.9.093105,35316779800;57210585829;6507358470
10.1109/IPCon.2019.8908404,57205025235;37113017300;7202083837
10.1109/IPCon.2019.8908388,57190256209;7005636820;56709364700
10.1109/IPCon.2019.8908414,57198431633;57213582934;56453304300
10.1177/1555343419842776,35099253600;57196952707;55544941800
10.1109/LSSC.2019.2931440,34873697600;57218591162;55436436900
10.1109/ETFA.2019.8869247,7005513246;7006214218;8929123100
10.1109/ESSCIRC.2019.8902621,57207689986;57201772566;56363360200
10.1109/JBHI.2018.2877595,7403361614;56701619800;34873697600
10.1364/AO.58.006504,57202911672;57216747100;57200118993
10.1016/j.snb.2019.05.026,57203942414;57208717150;57215609504
10.1016/j.micromeso.2019.04.005,57211105311;24295291100;57202116348
10.1115/1.4043442,57201432287;57201772566;56795914000
10.1109/TIFS.2019.2892010,37098602100;57208784903;7202317282
10.1016/j.matdes.2019.107795,6603410853;57216811262;57209110872
10.1016/j.compstruct.2019.04.025,6701720294;7201741468;56781290700
10.1080/08982112.2018.1557205,7004904337;55788214400;57210585829
10.1007/s00163-018-00304-2,56331127200;57214773567;57204031131
10.1109/REDW.2019.8906534,7004904337;12778890800;57205650285
10.1109/SpaceComp.2019.00008,55301279200;57211987837;56698926600
10.1109/ProComm.2019.00022,55249877500;7101816438;7004904337
10.1061/(ASCE)ST.1943-541X.0002333,57192710054;57211158470;35790633100
10.1016/j.matchar.2019.04.033,24401574900;57195398251;57212271263
10.1109/TGRS.2018.2889427,57201722090;57192318731;7004511126
10.1115/1.4043285,57218202833;57201634652;56045493000
10.1016/j.ijheatmasstransfer.2019.03.103,57191587072;8608718200;57214773567
10.1364/OSAC.2.001964,55557218000;55315026400;57208246750
10.1007/s11661-019-05223-y,57191587072;7004307869;57215598228
10.1016/j.cma.2019.03.035,57188681207;57081918700;6508342170
10.1016/j.commatsci.2019.04.007,26323686000;13406135400;57195921912
10.3390/s19122703,48361087900;36459611200;35562442700
10.1115/1.2019-JUN5,6701646284;7005357023;57209640119
10.1142/S0219519419500246,56260937200;57212415946;57204799155
10.1109/ICUAS.2019.8798325,57197773578;7005636820;57191156976
10.1109/ICUAS.2019.8798252,9277159100;57209889565;35597296700
10.1109/ICUAS.2019.8798359,57203661821;36668159600;57210914089
10.1109/ICUAS.2019.8798020,36668159600;53866135200;56196521900
10.1109/TGRS.2018.2884128,6507358470;57196000820;7406665619
10.1109/TGRS.2018.2882136,24336460200;57192893058;57203250533
10.1109/EuroSPW.2019.00020,57204596520;56662711400;55249877500
10.1109/ICUAS.2019.8797743,57201367093;57209640119;57218202833
10.1109/TPC.2019.2893464,56741048000;57187178400;55249877500
10.1016/j.cma.2019.03.005,23091904000;39861044100;56556056000
10.1007/s11081-018-09419-w,56710953300;57207980336;57210260262
10.1109/PTC.2019.8810557,57218886189;6602577617;55100119300
10.1016/j.ijplas.2018.03.012,57191110417;57203180153;23091904000
10.1016/j.soildyn.2019.02.028,56818839700;7403368068;7003663333
10.1109/TCPMT.2019.2910791,8369472600;57203310052;57211500187
10.1016/j.compositesa.2019.03.006,57211443769;57219006078;57201722090
10.1109/ICC.2019.8761418,13405030000;56196521900;55904183100
10.1016/j.destud.2019.02.001,36349287300;57210289242;8922674200
10.1016/j.joca.2018.12.026,57211987837;57190252027;56702333100
10.1007/s11042-018-6695-9,57208246750;8715877100;6507317548
10.1016/j.precisioneng.2019.04.004,57195804520;57203191415;24483038000
10.1109/ICC.2019.8761586,57202323019;57211158470;57211254337
10.1109/ICC.2019.8761595,57203957449;55233755100;57203731804
10.1016/j.mri.2019.01.001,56221901100;56221719300;56266132600
10.1016/j.commatsci.2019.01.041,53878508900;57216181629;57205257595
10.1016/j.commatsci.2018.10.043,6602649851;57194205673;12808778700
10.1039/c9ay00192a,35790633100;55422614200;57192955909
10.1115/1.4042427,57212147414;57214855898;57204031131
10.1145/3313761,7402004420;7101816438;56810920600
10.2514/1.D0119,16178649400;57207110219;57209538650
10.1109/TAES.2018.2864807,57192247939;7003498769;7005513246
10.1016/j.joca.2018.12.016,57213874106;57214071214;57215697686
10.1115/1.4042785,57200363612;7005513246;56323465700
10.1016/j.jmst.2018.10.021,55359090100;56559765400;57193533805
10.1109/VTCSpring.2019.8746472,57210287166;14059209700;12142543700
10.1109/LRA.2019.2896478,56724258600;6701720294;56818839700
10.1016/j.conbuildmat.2019.01.037,54415193700;57193518829;57215336161
10.1108/RPJ-01-2018-0029,57031187500;56323465700;7006111578
10.1007/s10921-019-0566-9,36011148100;57218202833;57218591162
10.1109/TAP.2018.2888702,55359090100;7202277096;15766049500
10.1103/PhysRevFluids.4.034803,6506736843;55708105800;57218685929
10.1016/j.jmatprotec.2018.09.039,18535712500;57118455800;23569552400
10.1115/1.4042335,57202776341;6701720294;7102405529
10.1115/1.4042442,57203230997;7003381644;57214937519
10.1016/j.nanoen.2018.12.080,26029526200;57209911428;55812232700
10.1016/j.ndteint.2018.12.007,57191587072;16066928300;57191586637
10.1145/3289602.3293911,57197733505;7101816954;56248593800
10.1145/3289602.3293922,57003496300;57204031131;7409253428
10.1016/j.jbiomech.2018.12.028,6701610428;57198333909;57200121629
10.1109/TMECH.2018.2878228,57209912956;23027991800;57197795830
10.1016/j.ijheatmasstransfer.2018.10.030,57200884469;7202035366;7202713087
10.1016/j.automatica.2018.11.054,56819566000;57191620725;36176552000
10.1109/RESPECT46404.2019.8985707,9277159100;57160053200;57204595191
10.1016/j.jmbbm.2018.10.025,57205288709;57203192064;6701863708
10.1002/qre.2387,6507358470;57210260262;57189235340
10.1109/TAP.2018.2880049,8691490200;57207550410;57207782220
10.1109/TCSII.2018.2845883,57218202833;12544690900;57189235340
10.1016/j.commatsci.2018.10.036,23091904000;57205285411;57207334294
10.1109/CDC.2018.8619454,7003702751;6508306234;26538762200
10.1109/CDC.2018.8619098,56819566000;57193565771;7005513246
10.1109/ICMLA.2018.00142,56148594700;57217789464;7003292762
10.1109/NAPS.2018.8600617,57191620725;23570183200;57218886193
10.2514/6.2019-1221,10639679200;57203433787;20735824800
10.2514/6.2019-1573,57207110219;57202785989;56245452300
10.2514/6.2019-1109,36106810300;57198431633;56896919700
10.1115/IMECE2019-11470,57207689986;57216187696;7202518970
10.2514/1.C035321,35175200200;57192943554;57191952713
10.1007/978-3-319-74476-6_3,57200290256;57207334294;7102270639
10.35199/epde2019.72,8421746800;57192943554;57204029674
10.35199/epde2019.51,56330970800;57200534297;57197773578
10.35199/epde2019.52,56890178400;24401574900;57212351859
10.1364/FIO.2019.JW4A.15,56957771800;36944158600;24831334500
10.1364/FIO.2019.JW3A.118,57217867341;57202112010;6701755273
10.1017/dsi.2019.409,57218202833;57210260262;8421746800
10.1115/POWER2019-1874,57196465311;57217871738;55619678900
10.1364/AO.58.00G363,55855376400;57203028829;57215598228
10.1061/9780784482575.009,57211516485;55736845400;57211217749
10.1016/j.medengphy.2018.11.001,55542008600;57211158470;57194205673
10.1115/DETC2019-98126,8421746800;57192697616;57191362366
10.1115/DETC2019-97546,57189243866;57205257595;57204728159
10.1115/DETC2019-97202,36349287300;15848771600;57212136375
10.1115/DETC2019-98407,56330970800;6507358470;57207901363
10.1115/DETC2019-98168,57188764210;57215031057;6603042352
10.1115/DETC2019-97899,57188681207;9277159100;57212136375
10.1115/DETC2019-98419,57212345817;57212351695;6701755273
10.1115/DETC2019-98056,57212342217;13411176900;24758929200
10.1115/DETC2019-98019,35994294500;7102975249;57214937519
10.1115/DETC2019-98412,57219312906;7410190129;56371366400
10.1115/DETC2019-97923,6701610428;35209941000;56890178400
10.1115/DETC2019-98439,57208225620;57212089454;55945437600
10.1007/978-3-030-05752-7_13,7004495126;7005371369;7401969039
10.2514/1.G003737,57188681207;57194008450;7005636820
10.14733/cadaps.2019.923-935,57200371154;57204032253;6603625990
10.1016/j.proci.2018.06.221,55258864700;8321530600;7102857304
10.1063/1.5070068,54781821400;12778890800;57203222139
10.1117/12.2529893,7202035366;57194686620;7004848095
10.1117/12.2511369,55326143600;26427694400;57211158470
10.2514/6.2019-0540,57200117690;57204032253;57193895552
10.2514/6.2019-0538,36668159600;57204762755;12544690900
10.1115/IMECE2019-11699,57200685059;7102975249;55944583700
10.1115/IMECE2019-11810,56487893500;36667397700;36176552000
10.1115/GT2019-91753,57190371042;57218202833;57204031131
10.1016/j.ifacol.2019.08.124,6507358470;7004904337;57218202833
10.1115/1.4040098,54911216200;57198146081;57215031057
10.1109/TCST.2017.2773027,57210916608;57194008450;55912340300
10.1061/9780784482575.015,57217871738;39862017300;57200205435
10.2514/1.I010706,36011148100;56020026900;57193807582
10.1364/CLEO_SI.2019.STu3H.4,57218591162;57203942414;57205025235
10.1061/9780784482087.011,55369699900;57194034271;8048702500
10.1109/JSTQE.2018.2854574,57207842677;57194162490;12805837100
10.1115/DETC2019-98431,57212351059;57204903122;57205766759
10.1115/DETC2019-98400,57214718289;18042274300;57194006378
10.5098/hmt.12.20,9277159100;55542008600;24295291100
10.1017/dsj.2018.6,57204903122;56353116200;57199050938
10.1117/1.JMM.18.1.015501,56709476900;57203246058;7003631423
10.14733/cadaps.2019.864-877,7102879142;6603717022;57200515115
10.1016/j.soildyn.2018.10.040,19934211900;57144565100;57216048774
10.1109/TNS.2018.2877579,24726409500;57204695840;57191921086
10.1039/c8na00101d,57219005376;24780432200;7003387464
10.1117/12.2510174,7402756644;57201772566;57200118672
10.1117/12.2511311,57209581042;7003868048;57217654846
10.1016/j.commatsci.2018.09.031,24295291100;24401574900;12142543700
10.2514/6.2019-0484,57205285411;56830076500;36011148100
10.24928/2019/0221,8705255200;57195286623;8533888200
10.1115/DSCC2019-9037,57200077532;57201947722;57203222139
10.2514/1.J057992,57218591162;6603907334;35239803700
10.1364/OIC.2019.MB.4,57203028829;57191587072;7401969039
10.2514/6.2019-2664,57211158470;57188654880;24401574900
10.2514/6.2019-2633,57218202833;7202538835;57219327922
10.3906/elk-1808-138,7101816954;57196465311;57214076898
10.1364/CLEO_SI.2019.STu3H.2,57203943386;57195515828;57216739000
10.1109/TPWRS.2018.2867791,57204470823;7202083837;7003292762
10.1115/DETC2019-97354,35209941000;13411176900;57188833818
10.1115/DETC2019-97621,36668159600;56790117900;57212379321
10.1126/scirobotics.aau5171,57208255032;57210289242;7005513246
10.1109/TNS.2018.2886094,57212455523;57201360985;57208709846
10.1109/TNS.2018.2884460,57218202833;56363360200;57214076898
10.1080/15397734.2019.1707685,14831622300;56577817900;57196484337
10.1103/PhysRevFluids.4.014002,7102483892;56709476900;36245410800
10.2514/1.A34263,57216739000;16178649400;57197800472
10.1061/9780784482100.043,47962305800;57214365851;57194034271
10.2118/194082-ms,56156055700;55904183100;57209538650
10.1016/j.asr.2018.08.032,36668159600;57197765353;57188681207
10.1109/PESGM.2018.8586586,57210287166;57215432728;36987999600
10.1109/NSREC.2018.8584297,57191587072;57208709468;54978625300
10.1109/NSREC.2018.8584313,55301279200;12544690900;7006631262
10.1109/ISGTEurope.2018.8571859,7004904337;57210260262;57189491950
10.1039/c8lc00966j,57202237979;8724084200;57218105310
10.1177/0361198118773505,57200371154;57204032253;57210260262
10.1115/1.4040552,56781290700;57216287324;7004904337
10.1016/j.ijheatmasstransfer.2018.07.044,57209538650;56330168500;56463982900
10.1115/1.4041199,7006533953;6602649851;16548784600
10.1186/s10033-018-0214-9,56071519600;54415193700;56045493000
10.1109/MAES.2018.180031,55849071700;56680952700;57126390100
10.1007/s11661-018-4922-7,56110251000;34873697600;57191587072
10.1007/s00162-018-0472-2,57196372172;57203330644;57192318731
10.1016/j.apenergy.2018.08.029,36167063600;7005513246;57215687139
10.1080/16864360.2018.1462570,57193356353;57205652801;57213087387
10.1016/j.expthermflusci.2018.06.026,56897186700;57200118993;55457444300
10.1016/j.ijheatmasstransfer.2018.05.068,6701777223;57202741808;7003545107
10.1016/j.ffa.2018.07.006,8448666000;55252859600;6602649851
10.1109/JSTQE.2018.2846024,57195398251;57216747100;57212277900
10.1016/j.jcsr.2018.09.007,6701720294;6507359986;57214365851
10.1116/1.5043297,36006215900;6701720294;57207774891
10.1109/HPCS.2018.00082,16422844400;6701777223;10640480600
10.3390/mi9100525,57192710054;8048702500;57188688103
10.1109/IVSW.2018.8494874,57204469757;57200534297;57197728435
10.1016/j.bej.2018.06.014,57203942414;57212304730;57210982957
10.1016/j.apenergy.2018.06.098,7004495126;57200118442;57191570988
10.1016/j.engstruct.2018.06.055,57195804520;14033673100;8922674200
10.1016/j.bios.2018.04.016,6603410853;57211443769;57194636792
10.1109/ISWCS.2018.8491220,23012428800;6505524737;6507358470
10.1109/ISWCS.2018.8491087,56819566000;57215811083;57210292389
10.1109/ISWCS.2018.8491196,34874297000;7004904337;57204692730
10.1016/j.commatsci.2018.06.031,24923036100;57218202833;7102900497
10.1177/1548512918772028,7403218372;15766049500;56218368600
10.1115/1.4040700,57201947722;57209581042;6506736843
10.1016/j.msea.2018.07.062,7004904337;57193518829;7401969039
10.1080/15397734.2017.1406370,57196487336;7004307869;6505761847
10.1007/s10798-017-9417-0,57197773578;56677251600;57208598187
10.1016/j.ijheatmasstransfer.2018.03.041,57205285411;6701746882;57211516485
10.1016/j.diamond.2018.07.022,55813139600;57219015425;16422844400
10.1016/j.soildyn.2018.04.048,57212088299;7004615647;6505761847
10.1109/ICUAS.2018.8453285,6508087756;57212833949;57215609504
10.1109/ICUAS.2018.8453323,55522618700;24923036100;56380927900
10.1109/REMAR.2018.8449874,16021781200;57199050938;57218202833
10.1109/REMAR.2018.8449881,56559765400;57202852946;7103392045
10.1109/REMAR.2018.8449875,6602997992;57214855898;55971908500
10.1109/REMAR.2018.8449870,8533888200;23983490300;56941526100
10.1145/3233547.3233599,6507317548;57218593446;35236206700
10.1109/LPT.2018.2858258,57194231165;7202812767;56221719300
10.1109/IRI.2018.00015,35147940600;57219312906;7102443026
10.1109/IRI.2018.00050,57208341600;57207470751;56806547100
10.1109/MCS.2018.2830079,57204032253;19638969800;57204029674
10.1007/s00162-018-0465-1,8321530600;57160053200;57198431633
10.1016/j.mechmachtheory.2018.04.013,57205270902;23009691800;56071519600
10.1109/ICC.2018.8422677,57218761022;7202083837;57203957449
10.1109/ICC.2018.8422678,55649569259;57204693186;57196000820
10.1109/SP.2018.00067,57201257192;57198431633;57204031131
10.1080/08956308.2018.1471275,55944615300;7004904337;36459611200
10.1117/1.JMM.17.3.034501,15081415200;8929123100;24726409500
10.1109/TAP.2018.2829838,17434035200;35621274900;56020026900
10.1061/(ASCE)HY.1943-7900.0001474,56261172000;57201700890;57211254337
10.1002/jee.20225,57214937519;7006533953;7006051256
10.1016/j.mechmachtheory.2018.03.014,34873697600;57203978933;57202785989
10.3390/mi9070326,57204552603;56584019300;57211422454
10.1088/1757-899X/375/1/012012,57205257595;35790633100;7102900497
10.1016/j.cma.2018.02.019,7003498548;57202577089;7004904337
10.1109/PLANS.2018.8373454,6701609778;57210920448;57203017789
10.1109/TCSII.2017.2786640,57211254337;8448666000;8342785400
10.1016/j.matchar.2018.03.035,57208341600;57193518829;57214365851
10.1016/j.ijheatmasstransfer.2017.12.113,57199980412;24483038000;57217581770
10.1061/(ASCE)CO.1943-7862.0001469,57212877401;57194391871;14831622300
10.1109/JQE.2018.2816120,57215613881;57201650328;56492379200
10.1115/1.4039852,7005513246;7006533953;57217581937
10.1061/(ASCE)ST.1943-541X.0001978,57201257192;6506269903;7004615647
10.3390/s18061745,57193322440;57215680724;57211158470
10.1109/ISBI.2018.8363830,55367023500;25930868900;6701834327
10.1016/j.jbiomech.2018.04.010,57198450286;56514586700;57202855772
10.1021/acsbiomaterials.8b00038,57209881955;57199050938;57211158470
10.1016/j.jmatprotec.2017.11.044,6508306234;57200884469;57194503011
10.1016/j.cma.2018.01.023,55813139600;15848771600;57219005376
10.1088/1361-665X/aab7d7,57199050938;57202322450;57195286623
10.1021/acs.iecr.8b00531,6508306234;57194679331;55619678900
10.1088/1361-6439/aab221,57195596864;7006542177;55849071700
10.1115/1.4039006,57192300416;7402967162;6508306234
10.1117/1.JMM.17.2.025501,57215031057;54781821400;7402786794
10.1016/j.ndteint.2018.01.006,57202852104;57193715705;57201912667
10.1115/1.4038972,57188681207;36708895400;57191110417
10.1115/1.4038925,57194141209;57192816311;57196465311
10.1002/jbio.201700018,57204597171;14321763900;57205504743
10.1016/j.aap.2018.01.029,14033673100;56247393100;57198919773
10.1049/iet-gtd.2017.0606,57212351343;56798055200;57204964732
10.1109/CICN.2017.8319387,8448666000;7005513246;6506010179
10.1109/IISA.2017.8316368,7102900497;6507317548;57218593962
10.1109/IISA.2017.8316436,56148594700;57218591162;13605498800
10.1016/j.mechmat.2017.12.001,57193749678;7102879142;8935514400
10.1016/j.firesaf.2018.01.002,57193749678;57190228554;57217581770
10.1145/3173386.3177008,7004904337;55788214400;14831622300
10.1039/c7lc01113j,57203192064;7007046711;7403361614
10.1021/acssynbio.7b00316,6508306234;57201980753;6603907334
10.1145/3174243.3174254,57204434337;55967471000;57215811083
10.1016/j.snb.2017.09.090,57199050938;7401431037;57195970826
10.1109/PESGM.2017.8274513,56824897200;57190404271;57218202833
10.1109/CDC.2017.8264370,57218886193;57191620725;8448666000
10.1109/CDC.2017.8264534,24295291100;57199050938;12142543700
10.1109/CDC.2017.8264251,36499438800;7004904337;55860312700
10.1080/16864360.2017.1419649,57205767010;9942259800;8244752200
10.1016/j.matdes.2017.10.054,57203486012;57211516485;8715877100
10.1016/j.msea.2017.10.092,57201634652;57203486012;12778890800
10.1080/16864360.2017.1353736,18042274300;56556056000;57204728159
10.1049/cp.2018.0396,55522618700;57211516485;7201675107
10.1115/GT201877188,57197726868;7005636820;57192955909
10.2514/6.2018-3646,57198451372;36682113800;57193749678
10.1061/9780784481295.054,55916448500;19934211900;57194703295
10.2514/6.2018-0107,55813139600;57195596391;57203433787
10.2514/6.2018-1652,57218202833;57192955909;7202538835
10.2514/6.2018-1510,57202040530;18535712500;57205285411
10.1109/TAP.2017.2772929,57214580514;36444802300;7004904337
10.31438/trf.hh2018.61,57201772566;57209274795;57189445479
10.1364/FIO.2018.JTu2A.138,16178649400;6505524737;55301279200
10.1364/FIO.2018.FM4C.2,57218202833;7004904337;57216747100
10.1364/FIO.2018.FW7B.6,24831334500;56387524600;57218593446
10.2514/6.2018-3506,57206024435;24465414600;57210914089
10.1061/9780784481547.001,56818839700;36893877000;57217866402
10.1364/AO.57.00A122,57193900229;57203247682;56126031600
10.1016/j.jmst.2017.10.024,56890669600;7003545107;6701421652
10.1016/j.jmst.2017.10.023,55546296200;57217317667;57218221803
10.1115/DETC201885450,57208012227;56666222000;24759275600
