Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Simons T., Lee D.-J.","57204433875;7406665619;","Jet features: Hardware-friendly, learned convolutional kernels for high-speed image classification",2019,"Electronics (Switzerland)","8","5", 588,"","",,2,"10.3390/electronics8050588","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069869556&doi=10.3390%2felectronics8050588&partnerID=40&md5=168211e766e0d5d26b557babbc44dfd1","Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States","Simons, T., Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States; Lee, D.-J., Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States","This paper explores a set of learned convolutional kernels which we call Jet Features. Jet Features are efficient to compute in software, easy to implement in hardware and perform well on visual inspection tasks. Because Jet Features can be learned, they can be used in machine learning algorithms. Using Jet Features, we make significant improvements on our previous work, the Evolution Constructed Features (ECO Features) algorithm. Not only do we gain a 3.7× speedup in software without loosing any accuracy on the CIFAR-10 and MNIST datasets, but Jet Features also allow us to implement the algorithm in an FPGA using only a fraction of its resources. We hope to apply the benefits of Jet Features to Convolutional Neural Networks in the future. © 2019 by the authors. Licensee MDPI, Basel, Switzerland.","Evolutionary constructed features; Hardware implementation; Jet features; Object classification; Visual inspection",,Article,"Final",Open Access,Scopus,2-s2.0-85069869556
"McDonald J.K., Michela E.","24759275600;57207312334;","The design critique and the moral goods of studio pedagogy",2019,"Design Studies","62",,,"1","35",,2,"10.1016/j.destud.2019.02.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062397712&doi=10.1016%2fj.destud.2019.02.001&partnerID=40&md5=20a6ba812f10c90ae66f162a3e0e1f03","Brigham Young University, United States","McDonald, J.K., Brigham Young University, United States; Michela, E., Brigham Young University, United States","In this paper we inquire into the moral goods that are significant for design studio instructors, by examining how they talk about the way critiques fit into the studio as a social practice. We studied this issue using in-depth interviews with six studio instructors. Through these interviews, we found that critiques are how they structure the studio so they can pursue three types of moral goods: a) for student development; b) for their own self-cultivation; and c) for other stakeholders. Along with presenting these goods, we discuss what instructors say about multiple goods exerting influence on them at the same time. Finally, we discuss implications these findings have for understanding the studio environment, and why critiques matter within this environment. © 2019 Elsevier Ltd","design critique; design education; ethics; philosophy of design; reasoning","Design; Engineering; Design critiques; Design Education; ethics; In-depth interviews; reasoning; Self cultivations; Social practices; Student development; Studios",Article,"Final",Open Access,Scopus,2-s2.0-85062397712
"Ganjalizadeh V., Meena G.G., Stott M.A., Schmidt H., Hawkins A.R.","56387524600;56709476900;56709364700;16422844400;7102975249;","Single Particle Detection Enhancement with Wavelet-based Signal Processing Technique",2019,"2019 Conference on Lasers and Electro-Optics, CLEO 2019 - Proceedings",,, 8749395,"","",,1,"10.23919/CLEO.2019.8749395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069164473&doi=10.23919%2fCLEO.2019.8749395&partnerID=40&md5=a6e60d26abb286287fc24c5c6ec07c49","Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States; Department of Electrical and Computer Engineering, Brigham Young University, 459 Clyde Building, Provo, Utah, 84602, United States","Ganjalizadeh, V., Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States; Meena, G.G., Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States; Stott, M.A., Department of Electrical and Computer Engineering, Brigham Young University, 459 Clyde Building, Provo, Utah, 84602, United States; Schmidt, H., Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States; Hawkins, A.R., Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States","Chip-based single molecule detection requires ultra-sensitive devices and robust signal processing methods. A new wavelet-based signal processing method is introduced that improves detection and error rates on an optofluidic platform by 2x and 3x, respectively. © 2019 The Author(s) 2019 OSA.",,,Conference Paper,"Final",,Scopus,2-s2.0-85069164473
"Davis H.C., Luc-Harkey B.A., Seeley M.K., Troy Blackburn J., Pietrosimone B.","57192981384;57190258899;24333330300;57189382200;57203250533;","Sagittal plane walking biomechanics in individuals with knee osteoarthritis after quadriceps strengthening",2019,"Osteoarthritis and Cartilage","27","5",,"771","780",,6,"10.1016/j.joca.2018.12.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061557177&doi=10.1016%2fj.joca.2018.12.026&partnerID=40&md5=680b8efd49829c169cb730ef8583bed8","University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Brigham and Women's Hospital, Boston, MA, United States; Brigham Young University, Provo, UT, United States","Davis, H.C., University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Luc-Harkey, B.A., Brigham and Women's Hospital, Boston, MA, United States; Seeley, M.K., Brigham Young University, Provo, UT, United States; Troy Blackburn, J., University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Pietrosimone, B., University of North Carolina at Chapel Hill, Chapel Hill, NC, United States","Objective: To compare sagittal walking gait biomechanics between participants with knee osteoarthritis (KOA) who increased quadriceps strength following a lower-extremity strengthening intervention (responders) and those who did not increase strength following the same strengthening protocol (non-responders) both at baseline and following the lower extremity strengthening protocol. Design: Fifty-three participants with radiographic KOA (47% female, 62.3 ± 7.1 years, BMI = 28.5 ± 3.9 kg/m 2 ) were enrolled in 10 sessions of lower extremity strengthening over a 28-day period. Maximum isometric quadriceps strength and walking gait biomechanics were collected on the involved limb at baseline and 4-weeks following the strengthening intervention. Responders were classified as individuals who increased quadriceps strength greater than the upper limit of the 95% confidence interval (CI) for the minimal detectable change (MDC) in quadriceps strength (29 Nm) determined in a previous study. 2 × 2 functional analyses of variance were used to evaluate the effects of group (responders and non-responders) and time (baseline and 4-weeks) on time-normalized waveforms for knee flexion angle (KFA), vertical ground reaction force (vGRF), and internal knee extension moment (KEM). Results: A significant group x time interaction for KFA demonstrated greater KFA in the first half of stance at baseline and greater knee extension in the second half of stance at 4-weeks in responders compared to non-responders. There was no significant group x time interaction for vGRF or internal KEM. Conclusions: Quadriceps strengthening may be used to stimulate small changes in KFA in individuals with KOA. © 2019 Osteoarthritis Research Society International","Functional data analysis; Internal knee extension moment; Knee flexion angle; Vertical ground reaction force; Waveform analysis","adult; aged; Article; biomechanics; body weight; controlled study; female; human; internal knee extension moment; knee flexion angle; knee function; knee osteoarthritis; major clinical study; male; muscle strength; muscle training; musculoskeletal system parameters; priority journal; quadriceps strengthening; randomized controlled trial (topic); sagittal plane walking biomechanics; vertical ground reaction force; walking; walking speed; biomechanics; disability; gait; joint characteristics and functions; knee; knee osteoarthritis; middle aged; pain measurement; pathophysiology; physiology; procedures; quadriceps femoris muscle; randomized controlled trial; resistance training; weight bearing; Adult; Aged; Biomechanical Phenomena; Disability Evaluation; Female; Gait; Humans; Knee Joint; Male; Middle Aged; Muscle Strength; Osteoarthritis, Knee; Pain Measurement; Quadriceps Muscle; Range of Motion, Articular; Resistance Training; Weight-Bearing",Article,"Final",Open Access,Scopus,2-s2.0-85061557177
"Teng J., Zhang D., Lee D.-J., Chou Y.","57203957449;14059209700;7406665619;55367023500;","Recognition of Chinese food using convolutional neural network",2019,"Multimedia Tools and Applications","78","9",,"11155","11172",,2,"10.1007/s11042-018-6695-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053791074&doi=10.1007%2fs11042-018-6695-9&partnerID=40&md5=e785e3b4c62cecce444157a16a9b07a3","School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China; SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, China; Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States","Teng, J., School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China, SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, China; Zhang, D., School of Electronics and Information Technology, Sun Yat-sen University, Guangzhou, China, SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, China; Lee, D.-J., SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, China, Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States; Chou, Y., SYSU-CMU Shunde International Joint Research Institute, Shunde, Foshan, China, Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States","Food recognition is the first step for dietary assessment. Computer vision technology is being viewed as an effective tool for automatic food recognition for monitoring nutrition intake. Of the many food recognition algorithms in the literature, Bag-of-Features model is a proven approach that has shown impressive recognition accuracy. In this paper, we propose a small and efficient convolutional neural network architecture for Chinese food recognition, which is more applicable for resources limited platforms. Our network architecture is designed to model and perform a pipeline of processing similar to the Bag-of-Features approach. The main advantage of the proposed architecture, like other convolutional neural networks, is its ability to unifiedly optimize the entire network through back propagation, which is critical to recognition accuracy. We further compare and correlate our architecture with the traditional Bag-of-Features model in an attempt to investigate the similarities between them and identify factors that influence the recognition accuracy. The proposed architecture with a 5-layer deep convolutional neural network achieves the top-1 accuracy of 97.12% and the top-5 accuracy of 99.86% on a newly created Chinese food image dataset that is composed of 8734 images of 25 food categories. Our experimental result demonstrates the feasibility of applying the proposed compact CNN architecture to a challenging problem and achieve real-time performance. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Bag-of-features model; Chinese food; Convolutional neural network; Recognition","Backpropagation; Convolution; Deep neural networks; Neural networks; Nutrition; Bag of features; Computer vision technology; Convolutional neural network; Deep convolutional neural networks; Proposed architectures; Real time performance; Recognition; Recognition accuracy; Network architecture",Article,"Final",,Scopus,2-s2.0-85053791074
"Ling M., Cao J., Pehrson N.","57201759181;16548784600;57188833818;","Kinetostatic and dynamic analyses of planar compliant mechanisms via a two-port dynamic stiffness model",2019,"Precision Engineering","57",,,"149","161",,6,"10.1016/j.precisioneng.2019.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066158580&doi=10.1016%2fj.precisioneng.2019.04.004&partnerID=40&md5=c760c256346ae78d11e2338187d11d9c","Institute of Systems Engineering, China Academy of Engineering Physics, Mianyang, 621999, China; State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Ling, M., Institute of Systems Engineering, China Academy of Engineering Physics, Mianyang, 621999, China, State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Cao, J., State Key Laboratory for Manufacturing Systems Engineering, Xi'an Jiaotong University, Xi'an, 710049, China; Pehrson, N., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Serial-parallel configurations are widely designed in compliant mechanisms. In this paper, the transfer matrix method is combined with D'Alembert's principle to develop a two-port dynamic stiffness model for analyzing the kinetostatics and dynamics of complex compliant mechanisms with serial-parallel configurations. In detail, two kinds of improved transfer matrices for parallel sub-chains are derived in a unified form by summarizing the common serial-parallel substructures in compliant mechanisms. Then, a two-port dynamic stiffness model describing the frequency-dependent input and output force-displacement relationship of compliant mechanisms is established. Based on the two-port dynamic stiffness model, procedures for solving the static and dynamic performances of compliant mechanisms are presented. The proposed approach is demonstrated by calculating the displacement amplification ratio, input/output stiffness, natural frequencies and forced dynamic response of two typical precision flexure manipulators. The advantage of the proposed approach lies in its capability to describe the simultaneous kinetostatics and dynamics for a large class of serial-parallel configurations with very few degrees of freedom (DOFs), differing from the previous Lagrange-based dynamic modeling methods in the context of compliant mechanisms and should be of interest to designers. © 2019 Elsevier Inc.","Compliant mechanisms; Dynamic stiffness matrix; Flexure hinge; Micro-/nano positioning","Compliant mechanisms; Degrees of freedom (mechanics); Hinges; Mechanisms; Stiffness; Stiffness matrix; Transfer matrix method; D' Alembert's principle; Degrees of freedom (DoFs); Displacement amplification; Dynamic stiffness matrix; Flexure hinge; Frequency dependent; Micro/nano positioning; Static and dynamic performance; Dynamics",Article,"Final",,Scopus,2-s2.0-85066158580
"Jain A., Meena G.G., Stambaugh A., Patterson J.L., Hawkins A.R., Schmidt H.","55247719300;56709476900;56871132500;7402407628;7102975249;16422844400;","Optofluidic Platform with Integrated Optical Waveguides and Sample Preparation for Digitized Detection of Nucleic Acid Targets",2019,"2019 Conference on Lasers and Electro-Optics, CLEO 2019 - Proceedings",,, 8749806,"","",,,"10.23919/CLEO.2019.8749806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069195001&doi=10.23919%2fCLEO.2019.8749806&partnerID=40&md5=822d99277d4da4d9d3503793a7507cc8","University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States; Department of Virology and Immunology, Texas Biomedical Research Institute, 7620 NW Loop 410, San Antonio, TX  78227, United States; ECEn Department, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States","Jain, A., University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States; Meena, G.G., University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States; Stambaugh, A., University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States; Patterson, J.L., Department of Virology and Immunology, Texas Biomedical Research Institute, 7620 NW Loop 410, San Antonio, TX  78227, United States; Hawkins, A.R., ECEn Department, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States; Schmidt, H., University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States","An architecture of sensitive solid-core and liquid-core optical waveguides are integrated with a pneumatic valve array on a single optofluidic platform to enable specific capture, labeling and detection of single nucleic acid strands using barcode fluorescence reporters. © 2019 The Author(s) 2019 OSA.",,,Conference Paper,"Final",,Scopus,2-s2.0-85069195001
"Dryer Z., Nickerl A., Gomes M.A.C., Vilela J.P., Harrison W.K.","57210286057;57210287346;17434035200;24726409500;35147940600;","Full-Duplex Jamming for Enhanced Hidden-Key Secrecy",2019,"IEEE International Conference on Communications","2019-May",, 8761586,"","",,1,"10.1109/ICC.2019.8761586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070236404&doi=10.1109%2fICC.2019.8761586&partnerID=40&md5=90ea3ea79b0afc2e758b12d4bf15e328","Department of Electrical and Computer Engineering, Brigham Young UniversityUT, United States; Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal; CISUC and Department of Informatics Engineering, University of Coimbra, Portugal","Dryer, Z., Department of Electrical and Computer Engineering, Brigham Young UniversityUT, United States; Nickerl, A., Department of Electrical and Computer Engineering, Brigham Young UniversityUT, United States; Gomes, M.A.C., Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal; Vilela, J.P., CISUC and Department of Informatics Engineering, University of Coimbra, Portugal; Harrison, W.K., Department of Electrical and Computer Engineering, Brigham Young UniversityUT, United States","This paper presents a practical physical-layer security scheme based on coding methodologies combined with self-jamming to combat advantaged eavesdroppers, i.e., eavesdroppers that may possess an equal or even better channel than the legitimate receiver. We introduce a strengthened security gap notion, where reliability is assured by typical bit-error rate (BER) measurements, but secrecy is guaranteed by considering the entire distribution of messages upon reception, instead of average measures. Relying on this new security gap notion, we then propose a scheme that combines concatenated coding with self-jamming by the legitimate receiver for effective security and reliability even when eavesdroppers possess a channel with equal or better conditions than the legitimate receiver. © 2019 IEEE.","adaptive filtering; physical-layer security; self-jamming","Adaptive filtering; Adaptive filters; Bit error rate; Network layers; Concatenated coding; Full-duplex; Hidden key; Physical layer security; Security and reliabilities; Security gap; Jamming",Conference Paper,"Final",,Scopus,2-s2.0-85070236404
"Carreira M., Monteiro T., Gomes M., Vilela J.P., Harrison W.K.","57210288854;57214559823;17434035200;24726409500;35147940600;","Adaptive Physical-Layer Security Through Punctured Coding for Secrecy",2019,"IEEE International Conference on Communications","2019-May",, 8761595,"","",,,"10.1109/ICC.2019.8761595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070199320&doi=10.1109%2fICC.2019.8761595&partnerID=40&md5=63651b75f40fcb15dcf32408a257e7ad","Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal; CISUC and Department of Informatics Engineering, University of Coimbra, Portugal; Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States","Carreira, M., Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal; Monteiro, T., Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal; Gomes, M., Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal; Vilela, J.P., CISUC and Department of Informatics Engineering, University of Coimbra, Portugal; Harrison, W.K., Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States","We propose a coding methodology for physical layer security with adaptive characteristics, whereby adaptive we mean that the system must be tunable to different operational points/signal-to-noise ratio levels of both the legitimate receiver and the eavesdropper. Based on interleaving and scrambling as techniques that shuffle the original message before transmission, we consider puncturing over an interleaving/scrambling key and/or over the message as a mechanism to provide the required adaptability to channel conditions. The proposed techniques have shown suitable adaptability to different channel quality levels of the legitimate receiver and eavesdropper, while still guaranteeing the desired reliability for the legitimate receiver and secrecy against the eavesdropper. © 2019 IEEE.","Adaptive physical-layer security; coding for secrecy; interleaving; puncturing; scrambling","Codes (symbols); Piercing; Adaptive characteristic; Channel conditions; Channel quality; coding for secrecy; interleaving; Physical layer security; scrambling; Network layers",Conference Paper,"Final",,Scopus,2-s2.0-85070199320
"Gibby W., Parish W., Merrill R.M., Fernandez D., Anderson C.R., Merchel E., Parr R.","6602749964;57205512220;7102985794;9739395200;57202736299;57205515588;57205514839;","The use of a binary chelate formulation: Could gadolinium based linear contrast agents be rescued by the addition of zinc selective chelates?",2019,"Magnetic Resonance Imaging","58",,,"76","81",,1,"10.1016/j.mri.2019.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060346024&doi=10.1016%2fj.mri.2019.01.001&partnerID=40&md5=aaf599fdccbaedebc20fae8a7dccb212","Magnetic Research Inc., 3152 N University Ave #50, Provo, UT  84604, United States; University of California San Diego, 9500 Gilman Drive, La Jolla, CA  92093, United States; Department of Health Science, Brigham Young University, College of Life Sciences, Life Sciences Building (LSB), Provo, UT  84602, United States; Department of Geology and Geophysics, University of Utah, Frederick Albert Sutton Building, 115 S, 1460 E #383, Salt Lake City, UT  84112, United States","Gibby, W., Magnetic Research Inc., 3152 N University Ave #50, Provo, UT  84604, United States, University of California San Diego, 9500 Gilman Drive, La Jolla, CA  92093, United States; Parish, W., Magnetic Research Inc., 3152 N University Ave #50, Provo, UT  84604, United States; Merrill, R.M., Department of Health Science, Brigham Young University, College of Life Sciences, Life Sciences Building (LSB), Provo, UT  84602, United States; Fernandez, D., Department of Geology and Geophysics, University of Utah, Frederick Albert Sutton Building, 115 S, 1460 E #383, Salt Lake City, UT  84112, United States; Anderson, C.R., Department of Geology and Geophysics, University of Utah, Frederick Albert Sutton Building, 115 S, 1460 E #383, Salt Lake City, UT  84112, United States; Merchel, E., Department of Geology and Geophysics, University of Utah, Frederick Albert Sutton Building, 115 S, 1460 E #383, Salt Lake City, UT  84112, United States; Parr, R., Magnetic Research Inc., 3152 N University Ave #50, Provo, UT  84604, United States","Tissue and bone retention of gadolinium based contrast agents (GBCAs) has become a clinical concern because of the potential short and long term toxic effects of free gadolinium. This is a critical problem for most open-chain agents that more readily transmetallate in vivo, in comparison to macrocyclic compounds. Gadolinium diethylene tri-aminepentaacetic acid bis-glucosamide (Gd-DTPA-BIGA) is an experimental, open-chain contrast agent which has a significantly increased relaxivity coefficient in comparison to other GBCAs. This results in greater signal intensity and improved contrast enhancement. These superior imaging qualities initiated a search for a solution to the transmetallation of this agent. Plasma zinc is a well-known GBCA transmettalation agent. Since the base chelate of Gadodiamide (Gd-DPTA-Bis-Methylamide or Omniscan), DTPA-Bis-Methylamide (DTPA-BMA), readily transmettalates with and binds serum zinc, we hypothesized that a plasma “zinc sink,” may significantly reduce transmetallation of linear agents. 5% DTPA-BMA was added to a formulation of Gd-DTPA-BIGA, which was tested against the original formulation of Gd-DTPA-BIGA with 0.2% of the base chelate DTPA-BIGA. These formulations, including gadodiamide, were labeled with 153 GdCl 3 followed by infusion into cohorts of Sprague Dawley rats which were sacrificed at 1, 30 and 60 days. Internal organs were harvested, along with blood, skin and femur, and analyzed for residual gadolinium. A subset of tissues were also interrogated with ICP-MS. Labeled Gadodiamide and saline where used as controls. Conclusion: The addition of 5% DTPA-BMA, as a zinc binding agent, reduced the transmetallation of the linear agent Gd-DTPA-BIGA, in comparison to its original formulation supplemented with 0.2% BIGA. This result indicates that supplementing linear GBCAs with ancillary chelates may hold promise for reducing, or eliminating the biological archiving of gadolinium in tissues. In addition, this paper provides valuable animal data on the long term retention of gadolinium from linear based contrast agents. © 2019 Elsevier Inc.","DTPA-BIGA; DTPABMA; Gadolinium retention; Gd-DTPA-BIGA; Gd-DTPA-BMA; ICP-MS; Transmetallation; Zinc sink","chelate; gadodiamide; gadolinium; gadolinium chloride gd 153; gadolinium diethylene triaminepentaacetic acid bis glucosamide; gadolinium pentetate derivative; pentetate bismetylamide; pentetic acid derivative; unclassified drug; zinc; chelating agent; contrast medium; gadodiamide; gadolinium pentetate; gadolinium-DTPA bis-glucosamide; organometallic compound; pentetic acid; zinc; animal experiment; animal tissue; Article; cohort analysis; contrast enhancement; controlled study; drug dosage form comparison; drug formulation; female; image quality; in vitro study; inductively coupled plasma mass spectrometry; isotope labeling; male; nonhuman; priority journal; rat; zinc blood level; animal; bone; chemistry; femur; nuclear magnetic resonance imaging; Sprague Dawley rat; Animals; Bone and Bones; Chelating Agents; Contrast Media; Femur; Gadolinium; Gadolinium DTPA; Magnetic Resonance Imaging; Organometallic Compounds; Pentetic Acid; Rats; Rats, Sprague-Dawley; Zinc",Article,"Final",,Scopus,2-s2.0-85060346024
"Homer E.R.","8705255200;","High-throughput simulations for insight into grain boundary structure-property relationships and other complex microstructural phenomena",2019,"Computational Materials Science","161",,,"244","254",,1,"10.1016/j.commatsci.2019.01.041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061374113&doi=10.1016%2fj.commatsci.2019.01.041&partnerID=40&md5=4df2e2e952199c6132fdbae24257edc8","Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States","Homer, E.R., Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States","High-throughput simulations can be a powerful tool in the discovery of new materials and behaviors. As part of a special issue on Rising Stars in Computational Materials Science, this article uses the work of the author to show how high-throughput simulations have had an impact in grain boundary structure-property relationships and other complex microstructural phenomena. The work demonstrates how new tools designed to analyze large datasets produced by high-throughput simulations are enabling comprehensive grain boundary structure-property relationships to be obtained. High-throughput simulations are also used to demonstrate the impact descriptive and inferential statistics has had in extracting key aspects of deformation in metallic glasses. Finally, several different examples are used to show a balanced approach between simulations designed to survey and simulations designed for detailed analysis. Together, the two approaches provide a comprehensive picture of the variety of behaviors that exist, while ensuring that the physics underlying the behaviors are thoroughly understood. © 2019 Elsevier B.V.","Grain boundaries; High-throughput simulations; Materials informatics; Metallic glasses; Structure-property relationships","Glass; Grain boundaries; Large dataset; Metallic glass; Structural properties; Computational materials science; Grain boundary structure; High throughput; Inferential statistics; Large datasets; Materials informatics; Microstructural phenomenon; Structure property relationships; Throughput",Article,"Final",,Scopus,2-s2.0-85061374113
"Hicks D., Mehl M.J., Gossett E., Toher C., Levy O., Hanson R.M., Hart G., Curtarolo S.","57194392244;7006214218;57194503011;9845705900;7004929818;57194379165;57207901363;6603325558;","The AFLOW Library of Crystallographic Prototypes: Part 2",2019,"Computational Materials Science","161",,,"S1","S1011",,12,"10.1016/j.commatsci.2018.10.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065781560&doi=10.1016%2fj.commatsci.2018.10.043&partnerID=40&md5=73d1b297eedcab4fb3e8c929b8fb78e4","Center for Materials Genomics, Duke University, Durham, NC  27708, United States; Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States; Center for Materials Physics and Technology, Code 6390, U.S. Naval Research Laboratory, Washington, DC  20375, United States; Department of Physics, NRCN, P.O. Box 9001, Beer-Sheva, 84190, Israel; Department of Chemistry, St. Olaf College, Northfield, MN  55057, United States; Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States; Materials Science, Electrical Engineering, Physics and Chemistry, Duke University, Durham, NC  27708, United States; Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin-Dahlem, 14195, Germany","Hicks, D., Center for Materials Genomics, Duke University, Durham, NC  27708, United States, Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States; Mehl, M.J., Center for Materials Physics and Technology, Code 6390, U.S. Naval Research Laboratory, Washington, DC  20375, United States; Gossett, E., Center for Materials Genomics, Duke University, Durham, NC  27708, United States, Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States; Toher, C., Center for Materials Genomics, Duke University, Durham, NC  27708, United States, Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States; Levy, O., Center for Materials Genomics, Duke University, Durham, NC  27708, United States, Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States, Department of Physics, NRCN, P.O. Box 9001, Beer-Sheva, 84190, Israel; Hanson, R.M., Department of Chemistry, St. Olaf College, Northfield, MN  55057, United States; Hart, G., Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States; Curtarolo, S., Center for Materials Genomics, Duke University, Durham, NC  27708, United States, Materials Science, Electrical Engineering, Physics and Chemistry, Duke University, Durham, NC  27708, United States, Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin-Dahlem, 14195, Germany","Materials discovery via high-throughput methods relies on the availability of structural prototypes, which are generally decorated with varying combinations of elements to produce potential new materials. To facilitate the automatic generation of these materials, we developed The AFLOW Library of Crystallographic Prototypes — a collection of crystal prototypes that can be rapidly decorated using the AFLOW software. Part 2 of this work introduces an additional 302 crystal structure prototypes, including at least one from each of the 138 space groups not included in Part 1. Combined with Part 1, the entire library consists of 590 unique crystallographic prototypes covering all 230 space groups. We also present discussions of enantiomorphic space groups, Wigner-Seitz cells, the two-dimensional plane groups, and the various different space group notations used throughout crystallography. All structures — from both Part 1 and Part 2 — are listed in the web version of the library available at http://www.aflow.org/CrystalDatabase. © 2018 Elsevier B.V.","Basis Vectors; Crystal Structure; Database; Lattice Vectors; Space Groups; Wyckoff Positions","Database systems; Software prototyping; Vector spaces; Automatic Generation; Basis vector; High-throughput method; Lattice vectors; Space Groups; Structural prototype; Two dimensional plane; Wyckoff positions; Crystal structure",Article,"Final",,Scopus,2-s2.0-85065781560
